"Дата","Статистика продажу легкових (нових та вживаних) автомобілів","дельта"
2022-07-08,101626,
2022-07-09,101581,-45
2022-07-10,101338,-243
2022-07-11,101745,407
2022-07-12,102312,567
2022-07-13,101613,-699
2022-07-14,101801,188
2022-07-15,102678,877
2022-07-16,103249,571
2022-07-17,104054,805
2022-07-18,105188,1134
2022-07-19,106716,1528
2022-07-20,107810,1094
2022-07-21,108623,813
2022-07-22,109238,615
2022-07-23,110114,876
2022-07-24,110580,466
2022-07-25,111216,636
2022-07-26,113596,2380
2022-07-27,114900,1304
2022-07-28,115809,909
2022-07-29,116727,918
2022-07-30,117020,293
2022-07-31,118428,1408
2022-08-01,119640,1212
2022-08-02,120377,737
2022-08-03,121002,625
2022-08-04,121296,294
2022-08-05,121503,207
2022-08-06,121525,22
2022-08-07,121142,-383
2022-08-08,121618,476
2022-08-09,122458,840
2022-08-10,122666,208
2022-08-11,122960,294
2022-08-12,122774,-186
2022-08-13,122426,-348
2022-08-14,121708,-718
2022-08-15,121620,-88
2022-08-16,120685,-935
2022-08-17,120940,255
2022-08-18,120877,-63
2022-08-19,120941,64
2022-08-20,120496,-445
2022-08-21,120148,-348
2022-08-22,120802,654
2022-08-23,121368,566
2022-08-24,121704,336
2022-08-25,121877,173
2022-08-26,122024,147
2022-08-27,121983,-41
2022-08-28,121898,-85
2022-08-29,122289,391
2022-08-30,122666,377
2022-08-31,123222,556
2022-09-01,123534,312
2022-09-02,123672,138
2022-09-03,123340,-332
2022-09-04,123113,-227
2022-09-05,123540,427
2022-09-06,124587,1047
2022-09-07,124953,366
2022-09-08,125274,321
2022-09-09,124912,-362
2022-09-10,124911,-1
2022-09-11,124149,-762
2022-09-12,123948,-201
2022-09-13,123995,47
2022-09-14,124182,187
2022-09-15,124012,-170
2022-09-16,123085,-927
2022-09-17,122744,-341
2022-09-18,121904,-840
2022-09-19,121871,-33
2022-09-20,122383,512
2022-09-21,122525,142
2022-09-22,122216,-309
2022-09-23,121922,-294
2022-09-24,121761,-161
2022-09-25,121677,-84
2022-09-26,122292,615
2022-09-27,122642,350
2022-09-28,122883,241
2022-09-29,122853,-30
2022-09-30,122722,-131
