"Дата","Статистика продажу легкових авто по діапазонах цін","дельта"
2022-07-08,133449,
2022-07-09,133220,-229
2022-07-10,132832,-388
2022-07-11,133061,229
2022-07-12,133770,709
2022-07-13,132839,-931
2022-07-14,132863,24
2022-07-15,133973,1110
2022-07-16,134669,696
2022-07-17,135556,887
2022-07-18,136294,738
2022-07-19,138939,2645
2022-07-20,140132,1193
2022-07-21,141075,943
2022-07-22,142494,1419
2022-07-23,143096,602
2022-07-24,144019,923
2022-07-25,144582,563
2022-07-26,147497,2915
2022-07-27,148350,853
2022-07-28,150282,1932
2022-07-29,151379,1097
2022-07-30,151741,362
2022-07-31,153744,2003
2022-08-01,155169,1425
2022-08-02,156066,897
2022-08-03,156788,722
2022-08-04,157145,357
2022-08-05,157333,188
2022-08-06,157427,94
2022-08-07,156900,-527
2022-08-08,157619,719
2022-08-09,158834,1215
2022-08-10,159039,205
2022-08-11,159329,290
2022-08-12,159192,-137
2022-08-13,158580,-612
2022-08-14,157592,-988
2022-08-15,157855,263
2022-08-16,156588,-1267
2022-08-17,156683,95
2022-08-18,156819,136
2022-08-19,156638,-181
2022-08-20,156230,-408
2022-08-21,155703,-527
2022-08-22,156515,812
2022-08-23,157131,616
2022-08-24,157442,311
2022-08-25,157599,157
2022-08-26,157982,383
2022-08-27,157865,-117
2022-08-28,157552,-313
2022-08-29,158019,467
2022-08-30,158514,495
2022-08-31,159108,594
2022-09-01,159485,377
2022-09-02,159704,219
2022-09-03,159150,-554
2022-09-04,159132,-18
2022-09-05,160156,1024
2022-09-06,161014,858
2022-09-07,161366,352
2022-09-08,161957,591
2022-09-09,161372,-585
2022-09-10,161386,14
2022-09-11,160410,-976
2022-09-12,160245,-165
2022-09-13,160251,6
2022-09-14,160328,77
2022-09-15,0,-160328
2022-09-16,158774,-1554
2022-09-17,158195,-579
2022-09-18,157098,-1097
2022-09-19,156958,-140
2022-09-20,157581,623
2022-09-21,157627,46
2022-09-22,157134,-493
2022-09-23,156794,-340
2022-09-24,156559,-235
2022-09-25,156312,-247
2022-09-26,157069,757
2022-09-27,157503,434
2022-09-28,157756,253
2022-09-29,157564,-192
2022-09-30,157280,-284
