"Дата","Статистика цін на нафту BRENT","дельта"
2021-09-03,72.61,
2021-09-04,72.61,0
2021-09-05,72.61,0
2021-09-06,72.22,-0.39
2021-09-07,71.69,-0.53
2021-09-08,72.6,0.91
2021-09-09,71.45,-1.15
2021-09-10,72.92,1.47
2021-09-11,72.18,-0.73999999999999
2021-09-12,72.17,-0.010000000000005
2021-09-13,73.51,1.34
2021-09-14,73.6,0.089999999999989
2021-09-15,75.46,1.86
2021-09-16,75.67,0.21000000000001
2021-09-17,75.34,-0.33
2021-09-18,74.72,-0.62
2021-09-19,74.96,0.23999999999999
2021-09-20,73.92,-1.04
2021-09-21,74.36,0.44
2021-09-22,76.19,1.83
2021-09-23,77.25,1.06
2021-09-24,78.09,0.84
2021-09-25,75.96,-2.13
2021-09-26,76.37,0.41000000000001
2021-09-27,79.53,3.16
2021-09-28,79.09,-0.44
2021-09-29,78.09,-1
2021-09-30,78.31,0.22
2021-10-01,79.28,0.97
2021-10-02,78.86,-0.42
2021-10-03,78.73,-0.13
2021-10-04,81.26,2.53
2021-10-05,82.56,1.3
2021-10-06,81.08,-1.48
2021-10-07,81.95,0.87
2021-10-08,82.39,0.44
2021-10-09,81.85,-0.54000000000001
2021-10-10,81.97,0.12
2021-10-11,83.65,1.68
2021-10-12,83.42,-0.23
2021-10-13,83.18,-0.23999999999999
2021-10-14,84,0.81999999999999
2021-10-15,84.86,0.86
2021-10-16,83.82,-1.04
2021-10-17,83.86,0.040000000000006
2021-10-18,84.33,0.47
2021-10-19,85.08,0.75
2021-10-20,85.82,0.73999999999999
2021-10-21,84.61,-1.21
2021-10-22,85.53,0.92
2021-10-23,85.07,-0.46000000000001
2021-10-24,85.22,0.15000000000001
2021-10-25,85.99,0.77
2021-10-26,86.4,0.41000000000001
2021-10-27,83.87,-2.53
2021-10-28,83.66,-0.21000000000001
2021-10-29,83.72,0.060000000000002
2021-10-30,84.73,1.01
2021-10-31,84.48,-0.25
2021-11-01,84.71,0.22999999999999
2021-11-02,84.72,0.010000000000005
2021-11-03,81.99,-2.73
2021-11-04,80.54,-1.45
2021-11-05,82.74,2.2
2021-11-06,82.94,0.2
2021-11-07,82.59,-0.34999999999999
2021-11-08,83.43,0.84
2021-11-09,84.78,1.35
2021-11-10,82.64,-2.14
2021-11-11,82.87,0.23
2021-11-12,82.17,-0.7
2021-11-13,83.18,1.01
2021-11-14,83.13,-0.050000000000011
2021-11-15,82.05,-1.08
2021-11-16,82.43,0.38000000000001
2021-11-17,80.28,-2.15
2021-11-18,81.24,0.95999999999999
2021-11-19,77.37,-3.87
2021-11-20,80.67,3.3
2021-11-21,80.4,-0.27
2021-11-22,78.35,-2.05
2021-11-23,80.66,2.31
2021-11-24,80.42,-0.23999999999999
2021-11-25,80.36,-0.060000000000002
2021-11-26,71.21,-9.15
2021-11-27,78.2,6.99
2021-11-28,78.17,-0.030000000000001
2021-11-29,72.84,-5.33
2021-11-30,68.88,-3.96
2021-12-01,68.57,-0.31
2021-12-02,69.32,0.75
2021-12-03,69.51,0.19000000000001
2021-12-04,69.82,0.30999999999999
2021-12-05,69.22,-0.59999999999999
2021-12-06,72.69,3.47
2021-12-07,75.1,2.41
2021-12-08,75.59,0.49000000000001
2021-12-09,74.23,-1.36
2021-12-10,74.91,0.67999999999999
2021-12-11,74.5,-0.41
2021-12-12,74.87,0.37
2021-12-13,74.28,-0.59
2021-12-14,73.63,-0.65000000000001
2021-12-15,73.78,0.15000000000001
2021-12-16,74.92,1.14
2021-12-17,73.52,-1.4
2021-12-18,74.03,0.51000000000001
2021-12-19,73.98,-0.049999999999997
2021-12-20,71.57,-2.41
2021-12-21,73.62,2.05
2021-12-22,74.87,1.25
2021-12-23,76.14,1.27
2021-12-24,75.27,-0.87
2021-12-25,74.29,-0.97999999999999
2021-12-26,74.84,0.55
2021-12-27,77.73,2.89
2021-12-28,78.21,0.47999999999999
2021-12-29,78.79,0.58000000000001
2021-12-30,79.08,0.28999999999999
2021-12-31,77.35,-1.73
2022-01-01,78.23,0.88000000000001
2022-01-02,78.33,0.099999999999994
2022-01-03,78.57,0.23999999999999
2022-01-04,79.55,0.98
2022-01-05,80.19,0.64
2022-01-06,81.29,1.1
2022-01-07,81.06,-0.23
2022-01-08,80.13,-0.93000000000001
2022-01-09,80.44,0.31
2022-01-10,80.3,-0.14
2022-01-11,83.08,2.78
2022-01-12,83.98,0.90000000000001
2022-01-13,83.77,-0.21000000000001
2022-01-14,85.35,1.58
2022-01-15,83.3,-2.05
2022-01-16,83.9,0.60000000000001
2022-01-17,85.77,1.87
2022-01-18,86.78,1.01
2022-01-19,87.59,0.81
2022-01-20,87.61,0.019999999999996
2022-01-21,87.08,-0.53
2022-01-22,86.97,-0.11
2022-01-23,87.21,0.23999999999999
2022-01-24,85.43,-1.78
2022-01-25,87.18,1.75
2022-01-26,88.74,1.56
2022-01-27,88.17,-0.56999999999999
2022-01-28,88.52,0.34999999999999
2022-01-29,87.61,-0.91
2022-01-30,88.04,0.43000000000001
2022-01-31,89.26,1.22
2022-02-01,89.16,-0.10000000000001
2022-02-02,89.47,0.31
2022-02-03,91.11,1.64
2022-02-04,93.27,2.16
2022-02-05,90.45,-2.82
2022-02-06,90.69,0.23999999999999
2022-02-07,92.69,2
2022-02-08,90.78,-1.91
2022-02-09,91.55,0.77
2022-02-10,91.41,-0.14
2022-02-11,94.44,3.03
2022-02-12,92.17,-2.27
2022-02-13,92.07,-0.10000000000001
2022-02-14,96.48,4.41
2022-02-15,93.28,-3.2
2022-02-16,94.81,1.53
2022-02-17,92.97,-1.84
2022-02-18,93.54,0.57000000000001
2022-02-19,94.22,0.67999999999999
2022-02-20,93.76,-0.45999999999999
2022-02-21,91.17,-2.59
2022-02-22,91.75,0.58
2022-02-23,92.18,0.43000000000001
2022-02-24,92.89,0.70999999999999
2022-02-25,91.77,-1.12
2022-02-26,91.95,0.18000000000001
2022-02-27,92.11,0.16
2022-02-28,95.1,2.99
2022-03-01,101.13,6.03
2022-03-02,108.29,7.16
2022-03-03,106.54,-1.75
2022-03-04,114.34,7.8
2022-03-05,105.08,-9.26
2022-03-06,107.08,2
2022-03-07,118.87,11.79
2022-03-08,123.48,4.61
2022-03-09,107.03,-16.45
2022-03-10,105.43,-1.6
2022-03-11,109.1,3.67
2022-03-12,112.78,3.68
2022-03-13,111.56,-1.22
2022-03-14,103.4,-8.16
2022-03-15,97.58,-5.82
2022-03-16,95.64,-1.94
2022-03-17,103.56,7.92
2022-03-18,105.07,1.51
2022-03-19,101.05,-4.02
2022-03-20,100.58,-0.47
2022-03-21,108.64,8.06
2022-03-22,108.53,-0.11
2022-03-23,113.86,5.33
2022-03-24,111.51,-2.35
2022-03-25,113.58,2.07
2022-03-26,111.22,-2.36
2022-03-27,111.74,0.52
2022-03-28,106.16,-5.58
2022-03-29,104.74,-1.42
2022-03-30,108.64,3.9
2022-03-31,102.73,-5.91
2022-04-01,102.82,0.089999999999989
2022-04-02,105.02,2.2
2022-04-03,104.79,-0.22999999999999
2022-04-04,106,1.21
2022-04-05,105.2,-0.8
2022-04-06,100.25,-4.95
2022-04-07,100.05,-0.2
2022-04-08,102.17,2.12
2022-04-09,102.73,0.56
2022-04-10,102.08,-0.65000000000001
2022-04-11,98.27,-3.81
2022-04-12,104.22,5.95
2022-04-13,108.08,3.86
2022-04-14,110.8,2.72
2022-04-15,111.6,0.8
2022-04-16,106.59,-5.01
2022-04-17,108.26,1.67
2022-04-18,111.94,3.68
2022-04-19,106.63,-5.31
2022-04-20,105.21,-1.42
2022-04-21,106.77,1.56
2022-04-22,104.87,-1.9
2022-04-23,107.08,2.21
2022-04-24,106.11,-0.97
2022-04-25,101.2,-4.91
2022-04-26,103.52,2.32
2022-04-27,103.85,0.33
2022-04-28,105.72,1.87
2022-04-29,105.45,-0.27
2022-04-30,103.95,-1.5
2022-05-01,104.5,0.55
2022-05-02,105.97,1.47
2022-05-03,103.73,-2.24
2022-05-04,108.72,4.99
2022-05-05,109.22,0.5
2022-05-06,110.84,1.62
2022-05-07,107.7,-3.14
2022-05-08,108.04,0.34
2022-05-09,104.6,-3.44
2022-05-10,101.24,-3.36
2022-05-11,106.1,4.86
2022-05-12,105.99,-0.11
2022-05-13,109.75,3.76
2022-05-14,105.54,-4.21
2022-05-15,105.72,0.17999999999999
2022-05-16,112.11,6.39
2022-05-17,109.85,-2.26
2022-05-18,106.93,-2.92
2022-05-19,109.82,2.89
2022-05-20,107.32,-2.5
2022-05-21,109.21,1.89
2022-05-22,108.63,-0.58
2022-05-23,108.1,-0.53
2022-05-24,108.11,0.010000000000005
2022-05-25,108.68,0.57000000000001
2022-05-26,111.55,2.87
2022-05-27,112.7,1.15
2022-05-28,109.83,-2.87
2022-05-29,110.17,0.34
2022-05-30,114.51,4.34
2022-05-31,112.58,-1.93
2022-06-01,113.56,0.98
2022-06-02,115.03,1.47
2022-06-03,117.03,2
2022-06-04,114.54,-2.49
2022-06-05,114.55,0.0099999999999909
2022-06-06,116.97,2.42
2022-06-07,118.14,1.17
2022-06-08,120.89,2.75
2022-06-09,120.3,-0.59
2022-06-10,119.02,-1.28
2022-06-11,119.06,0.040000000000006
2022-06-12,119.48,0.42
2022-06-13,119.07,-0.41000000000001
2022-06-14,117.78,-1.29
2022-06-15,115.47,-2.31
2022-06-16,117,1.53
2022-06-17,110.39,-6.61
2022-06-18,115.94,5.55
2022-06-19,115.32,-0.62
2022-06-20,108.88,-6.44
2022-06-21,109.19,0.31
2022-06-22,106.15,-3.04
2022-06-23,103.69,-2.46
2022-06-24,106.09,2.4
2022-06-25,106.8,0.70999999999999
2022-06-26,106.38,-0.42
2022-06-27,107.88,1.5
2022-06-28,110.78,2.9
2022-06-29,109.26,-1.52
2022-06-30,105.59,-3.67
2022-07-01,107.8,2.21
2022-07-02,108.26,0.46000000000001
2022-07-03,108.34,0.079999999999998
2022-07-04,109.46,1.12
2022-07-05,98.99,-10.47
2022-07-06,97.09,-1.9
2022-07-07,100.98,3.89
2022-07-08,103.46,2.48
2022-07-09,102,-1.46
2022-07-10,101,-1
2022-07-11,103.65,2.65
2022-07-12,96.12,-7.53
2022-07-13,96.29,0.17
2022-07-14,95.31,-0.98
2022-07-15,97.15,1.84
2022-07-16,97.7,0.55
2022-07-17,96.51,-1.19
2022-07-18,101.86,5.35
2022-07-19,102.88,1.02
2022-07-20,102.37,-0.50999999999999
2022-07-21,96.97,-5.4
2022-07-22,95.93,-1.04
2022-07-23,100,4.07
2022-07-24,100,0
2022-07-25,97.8,-2.2
2022-07-26,97.14,-0.66
2022-07-27,99.44,2.3
2022-07-28,99.49,0.049999999999997
2022-07-29,101.44,1.95
2022-07-30,99.06,-2.38
2022-07-31,99.31,0.25
2022-08-01,97.95,-1.36
2022-08-02,98.64,0.69
2022-08-03,95.2,-3.44
2022-08-04,92.5,-2.7
2022-08-05,93.18,0.68000000000001
2022-08-06,95.49,2.31
2022-08-07,95,-0.48999999999999
2022-08-08,95.12,0.12
2022-08-09,94.85,-0.27000000000001
2022-08-10,96.23,1.38
2022-08-11,98.3,2.07
2022-08-12,96.9,-1.4
2022-08-13,96.28,-0.62
2022-08-14,96.51,0.23
2022-08-15,94.28,-2.23
2022-08-16,91.74,-2.54
2022-08-17,93.02,1.28
2022-08-18,95.76,2.74
2022-08-19,96.09,0.33
2022-08-20,94.18,-1.91
2022-08-21,94.16,-0.02000000000001
2022-08-22,94.88,0.72
2022-08-23,98,3.12
2022-08-24,99.11,1.11
2022-08-25,97.25,-1.86
2022-08-26,97.35,0.099999999999994
2022-08-27,97.32,-0.030000000000001
2022-08-28,97.81,0.49000000000001
2022-08-29,100.94,3.13
2022-08-30,96.46,-4.48
2022-08-31,94.21,-2.25
2022-09-01,91.32,-2.89
2022-09-02,91.81,0.49000000000001
2022-09-03,94.95,3.14
2022-09-04,93.75,-1.2
2022-09-05,94.4,0.65000000000001
2022-09-06,91.97,-2.43
2022-09-07,87.21,-4.76
2022-09-08,88.25,1.04
