"Дата","Середня ціна вітрини хліба","дельта"
2022-08-12,19.64,
2022-08-13,20.44,0.8
2022-08-14,19.94,-0.5
2022-08-15,19.84,-0.1
2022-08-16,19.6,-0.24
2022-08-17,19.64,0.039999999999999
2022-08-18,19.6,-0.039999999999999
2022-08-19,19.57,-0.030000000000001
2022-08-20,19.5,-0.07
2022-08-21,19.55,0.050000000000001
2022-08-22,20.35,0.8
2022-08-23,19.84,-0.51
2022-08-24,20.23,0.39
2022-08-25,19.64,-0.59
2022-08-26,19.67,0.030000000000001
2022-08-27,19.67,0
2022-08-28,20.03,0.36
2022-08-29,19.2,-0.83
2022-08-30,19.67,0.47
2022-08-31,19.67,0
2022-09-01,19.79,0.12
2022-09-02,21.03,1.24
