"Дата","Середня ціна вітрини молока","дельта"
2022-08-12,38.35,
2022-08-13,39.62,1.27
2022-08-14,38.17,-1.45
2022-08-15,38.4,0.23
2022-08-16,38.59,0.19
2022-08-17,37.84,-0.75
2022-08-18,37.84,0
2022-08-19,37.84,0
2022-08-20,37.75,-0.090000000000003
2022-08-21,36.92,-0.83
2022-08-22,37.68,0.76
2022-08-23,37.94,0.26
2022-08-24,37.98,0.039999999999999
2022-08-25,37.77,-0.20999999999999
2022-08-26,38.69,0.91999999999999
2022-08-27,36.96,-1.73
2022-08-28,37.67,0.71
2022-08-29,36.6,-1.07
2022-08-30,37.87,1.27
2022-08-31,37.69,-0.18
2022-09-01,37.91,0.22
2022-09-02,38.77,0.86000000000001
2022-09-03,38.3,-0.47000000000001
2022-09-04,38.3,0
2022-09-05,36.9,-1.4
2022-09-06,36.85,-0.049999999999997
2022-09-07,36.84,-0.009999999999998
2022-09-08,35.62,-1.22
2022-09-09,35.62,0
2022-09-10,35.62,0
2022-09-11,35.1,-0.52
2022-09-12,35.74,0.64
2022-09-13,36.16,0.41999999999999
2022-09-14,35.93,-0.23
2022-09-15,35.9,-0.030000000000001
2022-09-16,36.39,0.49
2022-09-17,36.46,0.07
2022-09-18,35.92,-0.54
2022-09-19,37.85,1.93
2022-09-20,35.64,-2.21
2022-09-21,36.12,0.48
2022-09-22,35.75,-0.37
2022-09-23,36.12,0.37
2022-09-24,35.9,-0.22
2022-09-25,35.9,0
2022-09-26,36.08,0.18
2022-09-27,37.43,1.35
2022-09-28,36.73,-0.7
2022-09-29,36.14,-0.59
2022-09-30,37.42,1.28
2022-10-01,38.94,1.52
2022-10-02,39.44,0.5
2022-10-03,38.14,-1.3
2022-10-04,37.58,-0.56
2022-10-05,38.14,0.56
2022-10-06,37.57,-0.57
2022-10-07,36.8,-0.77
2022-10-08,36.23,-0.57
2022-10-09,35.11,-1.12
2022-10-10,36.66,1.55
2022-10-11,36.56,-0.099999999999994
2022-10-12,34.96,-1.6
2022-10-13,34.83,-0.13
2022-10-14,36.04,1.21
2022-10-15,34.5,-1.54
2022-10-16,37.01,2.51
2022-10-17,35.38,-1.63
2022-10-18,36.03,0.65
2022-10-19,37.01,0.98
2022-10-20,37.12,0.11
2022-10-21,37.72,0.6
2022-10-22,37.28,-0.44
2022-10-23,39.18,1.9
2022-10-24,38.82,-0.36
2022-10-25,38.25,-0.57
2022-10-26,38.3,0.049999999999997
2022-10-27,39.56,1.26
2022-10-28,40.15,0.59
2022-10-29,39.91,-0.24
2022-10-30,37.95,-1.96
2022-10-31,38.97,1.02
2022-11-01,37.07,-1.9
2022-11-02,41.18,4.11
2022-11-03,38.73,-2.45
2022-11-04,40.37,1.64
2022-11-05,41.85,1.48
2022-11-06,41.57,-0.28
2022-11-07,40.36,-1.21
2022-11-08,41.22,0.86
2022-11-09,41,-0.22
2022-11-10,41.16,0.16
2022-11-11,41.16,0
2022-11-12,41.16,0
2022-11-13,41.16,0
2022-11-14,41.16,0
2022-11-15,41.16,0
2022-11-16,40.99,-0.16999999999999
2022-11-17,40.99,0
2022-11-18,40.99,0
2022-11-19,40.99,0
2022-11-20,40.99,0
2022-11-21,40.89,-0.1
2022-11-22,40.89,0
2022-11-23,41.14,0.25
2022-11-24,41.14,0
2022-11-25,40.25,-0.89
2022-11-26,40.25,0
2022-11-27,41.14,0.89
2022-11-28,41.14,0
2022-11-29,41.14,0
2022-11-30,41.61,0.47
2022-12-01,41.61,0
2022-12-02,41.61,0
2022-12-03,41.61,0
2022-12-04,40.25,-1.36
2022-12-05,40.25,0
2022-12-06,41.11,0.86
2022-12-07,40.97,-0.14
2022-12-08,40.84,-0.13
2022-12-09,41.34,0.5
2022-12-10,41.15,-0.19
2022-12-11,41.08,-0.07
2022-12-12,41.08,0
2022-12-13,41.1,0.020000000000003
2022-12-14,41.15,0.049999999999997
2022-12-15,41.11,-0.039999999999999
2022-12-16,40.73,-0.38
2022-12-17,40.88,0.15000000000001
2022-12-18,40.83,-0.050000000000004
2022-12-19,41.92,1.09
2022-12-20,41.92,0
2022-12-21,41.26,-0.66
2022-12-22,41.92,0.66
2022-12-23,42.82,0.9
2022-12-24,42.82,0
2022-12-25,42.82,0
2022-12-26,42.82,0
2022-12-27,42.82,0
2022-12-28,42.79,-0.030000000000001
2022-12-29,42.79,0
2022-12-30,42.83,0.039999999999999
2022-12-31,42.59,-0.23999999999999
2023-01-01,43.05,0.45999999999999
2023-01-02,43.05,0
2023-01-03,43.05,0
2023-01-04,42.78,-0.27
2023-01-05,42.78,0
2023-01-06,42.78,0
2023-01-07,42.6,-0.18
2023-01-08,42.6,0
2023-01-09,42.6,0
2023-01-10,42.6,0
2023-01-11,42.52,-0.079999999999998
2023-01-12,42.52,0
2023-01-13,42.52,0
2023-01-14,42.41,-0.11000000000001
2023-01-15,42.41,0
