"Дата","Середня ціна вітрини шоколада","дельта"
2022-08-12,45.83,
2022-08-13,45.83,0
2022-08-14,46,0.17
2022-08-15,45.83,-0.17
2022-08-16,45.83,0
2022-08-17,43.99,-1.84
2022-08-18,43.99,0
2022-08-19,46.69,2.7
2022-08-20,46.79,0.1
2022-08-21,46.79,0
2022-08-22,46.69,-0.1
2022-08-23,50.4,3.71
2022-08-24,50.18,-0.22
2022-08-25,49.79,-0.39
2022-08-26,49.79,0
2022-08-27,49.94,0.15
2022-08-28,50.69,0.75
2022-08-29,49.95,-0.73999999999999
2022-08-30,49.95,0
2022-08-31,52.09,2.14
2022-09-01,52.88,0.79
2022-09-02,53.61,0.73
2022-09-03,53.61,0
2022-09-04,49.1,-4.51
2022-09-05,53.66,4.56
2022-09-06,51.61,-2.05
2022-09-07,52.92,1.31
2022-09-08,53.22,0.3
2022-09-09,53.09,-0.13
2022-09-10,53.09,0
2022-09-11,52.7,-0.39
2022-09-12,52.7,0
2022-09-13,52.52,-0.18
2022-09-14,50.07,-2.45
2022-09-15,50.07,0
2022-09-16,49.96,-0.11
2022-09-17,49.73,-0.23
2022-09-18,49.73,0
2022-09-19,50.98,1.25
2022-09-20,50.98,0
2022-09-21,46.04,-4.94
2022-09-22,46.6,0.56
2022-09-23,46.53,-0.07
2022-09-24,46.67,0.14
2022-09-25,46.53,-0.14
2022-09-26,46.81,0.28
2022-09-27,46.53,-0.28
2022-09-28,51.4,4.87
2022-09-29,51.83,0.43
2022-09-30,51.83,0
2022-10-01,52.64,0.81
2022-10-02,52.42,-0.22
2022-10-03,52.44,0.019999999999996
2022-10-04,52.44,0
2022-10-05,52.15,-0.29
2022-10-06,52.15,0
2022-10-07,51.55,-0.6
2022-10-08,53.11,1.56
2022-10-09,52.85,-0.26
2022-10-10,53.62,0.77
2022-10-11,54.16,0.54
2022-10-12,53,-1.16
2022-10-13,49.69,-3.31
2022-10-14,49.33,-0.36
2022-10-15,50.09,0.76000000000001
2022-10-16,51.31,1.22
2022-10-17,51.31,0
2022-10-18,51.63,0.32
2022-10-19,54.72,3.09
2022-10-20,54.72,0
2022-10-21,54.72,0
2022-10-22,54.14,-0.58
2022-10-23,53.46,-0.68
2022-10-24,49.66,-3.8
2022-10-25,53.46,3.8
2022-10-26,53.45,-0.009999999999998
2022-10-27,53.45,0
2022-10-28,53.45,0
2022-10-29,53.45,0
2022-10-30,53.45,0
2022-10-31,53.24,-0.21
2022-11-01,53.14,-0.1
2022-11-02,49.86,-3.28
2022-11-03,49.86,0
2022-11-04,51.05,1.19
2022-11-05,50.77,-0.27999999999999
2022-11-06,47.35,-3.42
2022-11-07,47.35,0
2022-11-08,46.19,-1.16
2022-11-09,49,2.81
2022-11-10,45.82,-3.18
2022-11-11,45.82,0
2022-11-12,33.99,-11.83
2022-11-13,34.38,0.39
2022-11-14,34.75,0.37
2022-11-15,34.75,0
2022-11-16,35.91,1.16
2022-11-17,35.36,-0.55
2022-11-18,35.49,0.13
2022-11-19,36.23,0.73999999999999
2022-11-20,40.19,3.96
2022-11-21,41.35,1.16
2022-11-22,43.82,2.47
2022-11-23,39.27,-4.55
2022-11-24,41.39,2.12
2022-11-25,38.62,-2.77
2022-11-26,41.35,2.73
2022-11-27,41.21,-0.14
2022-11-28,41.52,0.31
2022-11-29,41.14,-0.38
2022-11-30,41.32,0.18
2022-12-01,42.03,0.71
2022-12-02,42.03,0
2022-12-03,42.25,0.22
2022-12-04,41.75,-0.5
2022-12-05,41.88,0.13
2022-12-06,41.99,0.11
2022-12-07,41.98,-0.010000000000005
2022-12-08,41.97,-0.009999999999998
2022-12-09,46.1,4.13
2022-12-10,42.78,-3.32
2022-12-11,42.96,0.18
2022-12-12,47.86,4.9
2022-12-13,43.98,-3.88
2022-12-14,44.54,0.56
2022-12-15,41.78,-2.76
2022-12-16,44.57,2.79
2022-12-17,45.42,0.85
2022-12-18,42.62,-2.8
2022-12-19,39.86,-2.76
2022-12-20,40.2,0.34
2022-12-21,42.21,2.01
2022-12-22,44.2,1.99
2022-12-23,48.49,4.29
2022-12-24,48.49,0
2022-12-25,46.4,-2.09
2022-12-26,46.16,-0.24
2022-12-27,46.16,0
2022-12-28,48.16,2
2022-12-29,48.29,0.13
2022-12-30,47.94,-0.35
2022-12-31,48.12,0.18
2023-01-01,47.73,-0.39
2023-01-02,48.05,0.32
2023-01-03,48.66,0.61
2023-01-04,45.66,-3
2023-01-05,44.67,-0.98999999999999
2023-01-06,44.67,0
2023-01-07,44.87,0.2
2023-01-08,45.09,0.22000000000001
2023-01-09,45.09,0
2023-01-10,42.97,-2.12
2023-01-11,41.97,-1
2023-01-12,42.72,0.75
2023-01-13,44.07,1.35
2023-01-14,44.48,0.41
2023-01-15,44.61,0.13
2023-01-16,45.53,0.92
