"Дата","Середня ціна вітрини сигарет","дельта"
2022-08-12,67.28,
2022-08-13,67.64,0.36
2022-08-14,0,-67.64
2022-08-15,67.64,0
2022-08-16,67.73,0.090000000000003
2022-08-17,67.73,0
2022-08-18,67.73,0
2022-08-19,67.73,0
2022-08-20,67.73,0
2022-08-21,67.73,0
2022-08-22,67.09,-0.64
2022-08-23,68.06,0.97
2022-08-24,68.06,0
2022-08-25,68.06,0
2022-08-26,68.06,0
2022-08-27,68.06,0
2022-08-28,68.34,0.28
2022-08-29,68.25,-0.090000000000003
2022-08-30,67.92,-0.33
2022-08-31,68.45,0.53
2022-09-01,68.45,0
2022-09-02,68.45,0
2022-09-03,68.45,0
