"Дата","Середня ціна вітрини ковбаси","дельта"
2022-08-12,102.26,
2022-08-13,102.26,0
2022-08-14,102,-0.26000000000001
2022-08-15,101.06,-0.94
2022-08-16,122.53,21.47
2022-08-17,108.47,-14.06
2022-08-18,108.47,0
2022-08-19,108.47,0
2022-08-20,108.47,0
2022-08-21,108.47,0
2022-08-22,108.47,0
2022-08-23,108.47,0
2022-08-24,111.5,3.03
2022-08-25,111.5,0
2022-08-26,111.5,0
2022-08-27,120.62,9.12
2022-08-28,109.63,-10.99
2022-08-29,107.31,-2.32
2022-08-30,89.64,-17.67
2022-08-31,76.26,-13.38
2022-09-01,113.27,37.01
2022-09-02,115.58,2.31
2022-09-03,124.17,8.59
2022-09-04,130.5,6.33
2022-09-05,120.39,-10.11
2022-09-06,123.14,2.75
2022-09-07,117.23,-5.91
2022-09-08,117.23,0
2022-09-09,121.16,3.93
2022-09-10,121.16,0
2022-09-11,121.16,0
2022-09-12,112.49,-8.67
2022-09-13,112.49,0
2022-09-14,113.96,1.47
2022-09-15,113.96,0
2022-09-16,102.61,-11.35
2022-09-17,110.56,7.95
2022-09-18,110.56,0
2022-09-19,112.04,1.48
2022-09-20,112.04,0
2022-09-21,117.12,5.08
2022-09-22,131.98,14.86
2022-09-23,128.12,-3.86
2022-09-24,112.38,-15.74
2022-09-25,125.3,12.92
2022-09-26,126.57,1.27
2022-09-27,121.81,-4.76
2022-09-28,120.61,-1.2
2022-09-29,120.61,0
2022-09-30,123.05,2.44
2022-10-01,123.05,0
2022-10-02,120.61,-2.44
2022-10-03,108.48,-12.13
2022-10-04,102.35,-6.13
2022-10-05,105.03,2.68
2022-10-06,101.33,-3.7
2022-10-07,123.5,22.17
2022-10-08,123.5,0
2022-10-09,111.16,-12.34
2022-10-10,111.16,0
2022-10-11,129.7,18.54
2022-10-12,120,-9.7
2022-10-13,106.42,-13.58
2022-10-14,117.54,11.12
2022-10-15,121.87,4.33
2022-10-16,107.36,-14.51
2022-10-17,118.42,11.06
2022-10-18,124.32,5.9
2022-10-19,112.88,-11.44
2022-10-20,113.17,0.29000000000001
2022-10-21,113.17,0
2022-10-22,113.17,0
2022-10-23,113.17,0
2022-10-24,114.99,1.82
2022-10-25,126.12,11.13
2022-10-26,140.25,14.13
2022-10-27,108.67,-31.58
2022-10-28,96.87,-11.8
2022-10-29,97.42,0.55
2022-10-30,108.58,11.16
2022-10-31,108.58,0
2022-11-01,113.34,4.76
2022-11-02,123.95,10.61
2022-11-03,123.95,0
2022-11-04,123.95,0
2022-11-05,128.21,4.26
2022-11-06,123.95,-4.26
2022-11-07,123.95,0
2022-11-08,123.95,0
2022-11-09,125,1.05
2022-11-10,131.96,6.96
2022-11-11,131.96,0
2022-11-12,131.96,0
2022-11-13,131.96,0
2022-11-14,131.96,0
2022-11-15,131.96,0
2022-11-16,126.66,-5.3
2022-11-17,126.66,0
2022-11-18,126.66,0
2022-11-19,125.7,-0.95999999999999
2022-11-20,125.7,0
2022-11-21,129.07,3.37
2022-11-22,128.07,-1
2022-11-23,111.93,-16.14
2022-11-24,111.93,0
2022-11-25,126.18,14.25
2022-11-26,126.18,0
2022-11-27,126.68,0.5
2022-11-28,127.3,0.61999999999999
2022-11-29,126.68,-0.61999999999999
2022-11-30,125.43,-1.25
2022-12-01,129.03,3.6
2022-12-02,129.03,0
2022-12-03,127.49,-1.54
2022-12-04,127.53,0.040000000000006
2022-12-05,127.7,0.17
2022-12-06,128.16,0.45999999999999
2022-12-07,127.98,-0.17999999999999
2022-12-08,127.77,-0.21000000000001
2022-12-09,131.5,3.73
2022-12-10,0,-131.5
2022-12-11,0,-131.5
2022-12-12,0,-131.5
2022-12-13,131.17,-0.33000000000001
2022-12-14,127.85,-3.32
2022-12-15,0,-127.85
2022-12-16,132.98,5.13
2022-12-17,127.25,-5.73
2022-12-18,127.25,0
2022-12-19,127.25,0
2022-12-20,127.25,0
2022-12-21,127.14,-0.11
