"Дата","Середня ціна вітрини вина","дельта"
2022-08-12,88.22,
2022-08-13,87.93,-0.28999999999999
2022-08-14,88,0.069999999999993
2022-08-15,88.11,0.11
2022-08-16,87.21,-0.90000000000001
2022-08-17,84.85,-2.36
2022-08-18,86.12,1.27
2022-08-19,84.37,-1.75
2022-08-20,82.81,-1.56
2022-08-21,84.42,1.61
2022-08-22,84.42,0
2022-08-23,83.82,-0.60000000000001
2022-08-24,84.07,0.25
2022-08-25,84.07,0
2022-08-26,84.07,0
2022-08-27,83.68,-0.38999999999999
2022-08-28,82.88,-0.80000000000001
2022-08-29,82.88,0
2022-08-30,82.88,0
2022-08-31,83.01,0.13000000000001
2022-09-01,82.66,-0.35000000000001
2022-09-02,83.98,1.32
2022-09-03,83.98,0
2022-09-04,83.98,0
2022-09-05,83.98,0
2022-09-06,83.98,0
2022-09-07,83.98,0
2022-09-08,86.08,2.1
2022-09-09,86.08,0
2022-09-10,86.18,0.10000000000001
2022-09-11,86.18,0
2022-09-12,86,-0.18000000000001
2022-09-13,86.32,0.31999999999999
2022-09-14,89.31,2.99
2022-09-15,87,-2.31
2022-09-16,88.49,1.49
2022-09-17,88.49,0
2022-09-18,90.05,1.56
2022-09-19,87.7,-2.35
2022-09-20,86.95,-0.75
2022-09-21,86.81,-0.14
2022-09-22,88,1.19
2022-09-23,87.32,-0.68000000000001
2022-09-24,87.32,0
2022-09-25,87.32,0
2022-09-26,87.32,0
2022-09-27,86.26,-1.06
2022-09-28,83.53,-2.73
2022-09-29,83.53,0
2022-09-30,84.25,0.72
2022-10-01,83.72,-0.53
2022-10-02,83.72,0
2022-10-03,84.54,0.82000000000001
2022-10-04,84.06,-0.48
2022-10-05,84.55,0.48999999999999
2022-10-06,84.7,0.15000000000001
2022-10-07,84.7,0
2022-10-08,83.73,-0.97
2022-10-09,83.29,-0.44
2022-10-10,83.29,0
2022-10-11,83.29,0
2022-10-12,84,0.70999999999999
2022-10-13,84.13,0.13
2022-10-14,83.2,-0.92999999999999
2022-10-15,82.64,-0.56
2022-10-16,83.81,1.17
2022-10-17,85.95,2.14
2022-10-18,85.95,0
2022-10-19,84.89,-1.06
2022-10-20,83.78,-1.11
2022-10-21,82.52,-1.26
2022-10-22,82.74,0.22
2022-10-23,80.4,-2.34
2022-10-24,80.4,0
2022-10-25,80.42,0.019999999999996
2022-10-26,85.44,5.02
2022-10-27,84.08,-1.36
2022-10-28,84.08,0
2022-10-29,84,-0.079999999999998
2022-10-30,83.18,-0.81999999999999
2022-10-31,83.18,0
2022-11-01,84.52,1.34
2022-11-02,84.29,-0.22999999999999
2022-11-03,84.68,0.39
2022-11-04,84.68,0
2022-11-05,83.1,-1.58
2022-11-06,83.78,0.68000000000001
2022-11-07,84.76,0.98
2022-11-08,84.76,0
2022-11-09,84,-0.76000000000001
2022-11-10,85.6,1.6
2022-11-11,85.6,0
2022-11-12,92.54,6.94
2022-11-13,90.06,-2.48
2022-11-14,90.06,0
2022-11-15,90.06,0
2022-11-16,92.13,2.07
2022-11-17,91.12,-1.01
2022-11-18,91.12,0
2022-11-19,87.99,-3.13
2022-11-20,87.99,0
2022-11-21,87.99,0
2022-11-22,87.99,0
2022-11-23,93.56,5.57
2022-11-24,92.99,-0.57000000000001
2022-11-25,92.13,-0.86
2022-11-26,92.13,0
2022-11-27,93.18,1.05
2022-11-28,93.18,0
2022-11-29,94.64,1.46
2022-11-30,92.17,-2.47
2022-12-01,90.39,-1.78
2022-12-02,91.58,1.19
2022-12-03,92.39,0.81
2022-12-04,92.23,-0.16
2022-12-05,91.75,-0.48
2022-12-06,91.67,-0.079999999999998
2022-12-07,91.92,0.25
2022-12-08,91.99,0.069999999999993
2022-12-09,95.41,3.42
2022-12-10,92.55,-2.86
2022-12-11,97.54,4.99
2022-12-12,93.01,-4.53
2022-12-13,94.1,1.09
2022-12-14,94.52,0.42
2022-12-15,96.25,1.73
2022-12-16,96.25,0
2022-12-17,113.54,17.29
2022-12-18,113.54,0
2022-12-19,111.74,-1.8
2022-12-20,111.74,0
2022-12-21,111.81,0.070000000000007
2022-12-22,125.53,13.72
2022-12-23,126.49,0.95999999999999
2022-12-24,126.49,0
2022-12-25,126.49,0
2022-12-26,126.49,0
2022-12-27,126.49,0
2022-12-28,125.44,-1.05
2022-12-29,124.6,-0.84
2022-12-30,124.6,0
2022-12-31,124.28,-0.31999999999999
2023-01-01,127.17,2.89
2023-01-02,128.28,1.11
2023-01-03,125.64,-2.64
2023-01-04,117.37,-8.27
2023-01-05,119.55,2.18
2023-01-06,119.55,0
2023-01-07,118.6,-0.95
2023-01-08,118.08,-0.52
2023-01-09,117.36,-0.72
2023-01-10,116.7,-0.66
2023-01-11,118.64,1.94
2023-01-12,118.27,-0.37
2023-01-13,119.95,1.68
2023-01-14,118.56,-1.39
2023-01-15,118.56,0
2023-01-16,117.38,-1.18
2023-01-17,117.81,0.43000000000001
2023-01-18,124.79,6.98
2023-01-19,125.89,1.1
2023-01-20,125.89,0
2023-01-21,125.89,0
2023-01-22,124.08,-1.81
2023-01-23,124.2,0.12
2023-01-24,126.31,2.11
2023-01-25,126.96,0.64999999999999
2023-01-26,126.52,-0.44
2023-01-27,126.52,0
2023-01-28,122.92,-3.6
2023-01-29,126.43,3.51
2023-01-30,125.36,-1.07
