"Дата","Статистика випадків коронавірусу в Україні","дельта"
2020-01-03,0,
2020-01-04,0,
2020-01-05,0,
2020-01-06,0,
2020-01-07,0,
2020-01-08,0,
2020-01-09,0,
2020-01-10,0,
2020-01-11,0,
2020-01-12,0,
2020-01-13,0,
2020-01-14,0,
2020-01-15,0,
2020-01-16,0,
2020-01-17,0,
2020-01-18,0,
2020-01-19,0,
2020-01-20,0,
2020-01-21,0,
2020-01-22,0,
2020-01-23,0,
2020-01-24,0,
2020-01-25,0,
2020-01-26,0,
2020-01-27,0,
2020-01-28,0,
2020-01-29,0,
2020-01-30,0,
2020-01-31,0,
2020-02-01,0,
2020-02-02,0,
2020-02-03,0,
2020-02-04,0,
2020-02-05,0,
2020-02-06,0,
2020-02-07,0,
2020-02-08,0,
2020-02-09,0,
2020-02-10,0,
2020-02-11,0,
2020-02-12,0,
2020-02-13,0,
2020-02-14,0,
2020-02-15,0,
2020-02-16,0,
2020-02-17,0,
2020-02-18,0,
2020-02-19,0,
2020-02-20,0,
2020-02-21,0,
2020-02-22,0,
2020-02-23,0,
2020-02-24,0,
2020-02-25,0,
2020-02-26,0,
2020-02-27,0,
2020-02-28,0,
2020-02-29,0,
2020-03-01,0,
2020-03-02,0,
2020-03-03,1,1
2020-03-04,0,
2020-03-05,0,
2020-03-06,0,
2020-03-07,0,
2020-03-08,0,
2020-03-09,0,
2020-03-10,0,
2020-03-11,0,
2020-03-12,0,
2020-03-13,2,2
2020-03-14,0,
2020-03-15,0,
2020-03-16,0,
2020-03-17,0,
2020-03-18,11,11
2020-03-19,2,-9
2020-03-20,0,
2020-03-21,31,31
2020-03-22,0,
2020-03-23,26,26
2020-03-24,11,-15
2020-03-25,29,18
2020-03-26,43,14
2020-03-27,62,19
2020-03-28,93,31
2020-03-29,107,14
2020-03-30,62,-45
2020-03-31,69,7
2020-04-01,120,51
2020-04-02,135,15
2020-04-03,183,48
2020-04-04,109,-74
2020-04-05,155,46
2020-04-06,68,-87
2020-04-07,143,75
2020-04-08,206,63
2020-04-09,224,18
2020-04-10,311,87
2020-04-11,308,-3
2020-04-12,266,-42
2020-04-13,325,59
2020-04-14,270,-55
2020-04-15,392,122
2020-04-16,398,6
2020-04-17,500,102
2020-04-18,444,-56
2020-04-19,343,-101
2020-04-20,261,-82
2020-04-21,415,154
2020-04-22,467,52
2020-04-23,578,111
2020-04-24,477,-101
2020-04-25,478,1
2020-04-26,492,14
2020-04-27,392,-100
2020-04-28,401,9
2020-04-29,456,55
2020-04-30,540,84
2020-05-01,455,-85
2020-05-02,550,95
2020-05-03,502,-48
2020-05-04,418,-84
2020-05-05,366,-52
2020-05-06,487,121
2020-05-07,507,20
2020-05-08,504,-3
2020-05-09,515,11
2020-05-10,522,7
2020-05-11,416,-106
2020-05-12,375,-41
2020-05-13,402,27
2020-05-14,422,20
2020-05-15,483,61
2020-05-16,528,45
2020-05-17,433,-95
2020-05-18,325,-108
2020-05-19,260,-65
2020-05-20,354,94
2020-05-21,476,122
2020-05-22,442,-34
2020-05-23,432,-10
2020-05-24,406,-26
2020-05-25,259,-147
2020-05-26,339,80
2020-05-27,321,-18
2020-05-28,477,156
2020-05-29,429,-48
2020-05-30,393,-36
2020-05-31,468,75
2020-06-01,340,-128
2020-06-02,328,-12
2020-06-03,483,155
2020-06-04,588,105
2020-06-05,553,-35
2020-06-06,550,-3
2020-06-07,485,-65
2020-06-08,463,-22
2020-06-09,394,-69
2020-06-10,525,131
2020-06-11,689,164
2020-06-12,683,-6
2020-06-13,753,70
2020-06-14,648,-105
2020-06-15,656,8
2020-06-16,666,10
2020-06-17,758,92
2020-06-18,829,71
2020-06-19,921,92
2020-06-20,841,-80
2020-06-21,735,-106
2020-06-22,681,-54
2020-06-23,833,152
2020-06-24,940,107
2020-06-25,994,54
2020-06-26,1109,115
2020-06-27,948,-161
2020-06-28,917,-31
2020-06-29,646,-271
2020-06-30,706,60
2020-07-01,664,-42
2020-07-02,890,226
2020-07-03,875,-15
2020-07-04,914,39
2020-07-05,823,-91
2020-07-06,543,-280
2020-07-07,564,21
2020-07-08,807,243
2020-07-09,810,3
2020-07-10,819,9
2020-07-11,800,-19
2020-07-12,678,-122
2020-07-13,612,-66
2020-07-14,638,26
2020-07-15,836,198
2020-07-16,848,12
2020-07-17,809,-39
2020-07-18,847,38
2020-07-19,731,-116
2020-07-20,651,-80
2020-07-21,673,22
2020-07-22,829,156
2020-07-23,856,27
2020-07-24,972,116
2020-07-25,1106,134
2020-07-26,920,-186
2020-07-27,807,-113
2020-07-28,919,112
2020-07-29,1022,103
2020-07-30,1197,175
2020-07-31,1090,-107
2020-08-01,1172,82
2020-08-02,1112,-60
2020-08-03,990,-122
2020-08-04,1061,71
2020-08-05,1271,210
2020-08-06,1318,47
2020-08-07,1453,135
2020-08-08,1489,36
2020-08-09,1199,-290
2020-08-10,1008,-191
2020-08-11,1158,150
2020-08-12,1433,275
2020-08-13,1592,159
2020-08-14,1732,140
2020-08-15,1847,115
2020-08-16,1637,-210
2020-08-17,1464,-173
2020-08-18,1616,152
2020-08-19,1967,351
2020-08-20,2134,167
2020-08-21,2106,-28
2020-08-22,2328,222
2020-08-23,1987,-341
2020-08-24,1799,-188
2020-08-25,1658,-141
2020-08-26,1670,12
2020-08-27,1974,304
2020-08-28,2438,464
2020-08-29,2481,43
2020-08-30,2096,-385
2020-08-31,2141,45
2020-09-01,2088,-53
2020-09-02,2495,407
2020-09-03,2430,-65
2020-09-04,2723,293
2020-09-05,2836,113
2020-09-06,2107,-729
2020-09-07,2174,67
2020-09-08,2411,237
2020-09-09,2551,140
2020-09-10,2582,31
2020-09-11,3144,562
2020-09-12,3103,-41
2020-09-13,2476,-627
2020-09-14,2462,-14
2020-09-15,2905,443
2020-09-16,2958,53
2020-09-17,3584,626
2020-09-18,3228,-356
2020-09-19,3240,12
2020-09-20,2966,-274
2020-09-21,2675,-291
2020-09-22,2884,209
2020-09-23,3497,613
2020-09-24,3372,-125
2020-09-25,3565,193
2020-09-26,3833,268
2020-09-27,3130,-703
2020-09-28,2671,-459
2020-09-29,3627,956
2020-09-30,4027,400
2020-10-01,4069,42
2020-10-02,4633,564
2020-10-03,4661,28
2020-10-04,4140,-521
2020-10-05,3774,-366
2020-10-06,4348,574
2020-10-07,4753,405
2020-10-08,5397,644
2020-10-09,5804,407
2020-10-10,5728,-76
2020-10-11,4768,-960
2020-10-12,4420,-348
2020-10-13,5133,713
2020-10-14,5590,457
2020-10-15,5062,-528
2020-10-16,5992,930
2020-10-17,6410,418
2020-10-18,5231,-1179
2020-10-19,4766,-465
2020-10-20,5469,703
2020-10-21,6719,1250
2020-10-22,7053,334
2020-10-23,7517,464
2020-10-24,7014,-503
2020-10-25,6088,-926
2020-10-26,5426,-662
2020-10-27,6677,1251
2020-10-28,7474,797
2020-10-29,7342,-132
2020-10-30,8312,970
2020-10-31,8752,440
2020-11-01,7959,-793
2020-11-02,6754,-1205
2020-11-03,8899,2145
2020-11-04,9524,625
2020-11-05,9850,326
2020-11-06,9721,-129
2020-11-07,10746,1025
2020-11-08,9397,-1349
2020-11-09,8687,-710
2020-11-10,10179,1492
2020-11-11,10611,432
2020-11-12,11057,446
2020-11-13,11787,730
2020-11-14,12524,737
2020-11-15,10681,-1843
2020-11-16,9832,-849
2020-11-17,11968,2136
2020-11-18,12496,528
2020-11-19,13357,861
2020-11-20,14575,1218
2020-11-21,14580,5
2020-11-22,12079,-2501
2020-11-23,10945,-1134
2020-11-24,12287,1342
2020-11-25,13882,1595
2020-11-26,15331,1449
2020-11-27,16218,887
2020-11-28,16294,76
2020-11-29,12978,-3316
2020-11-30,9946,-3032
2020-12-01,12498,2552
2020-12-02,13141,643
2020-12-03,14496,1355
2020-12-04,15131,635
2020-12-05,13825,-1306
2020-12-06,11590,-2235
2020-12-07,8641,-2949
2020-12-08,10811,2170
2020-12-09,12585,1774
2020-12-10,13371,786
2020-12-11,13514,143
2020-12-12,12811,-703
2020-12-13,9176,-3635
2020-12-14,6451,-2725
2020-12-15,8416,1965
2020-12-16,10622,2206
2020-12-17,12047,1425
2020-12-18,12630,583
2020-12-19,11742,-888
2020-12-20,8325,-3417
2020-12-21,6545,-1780
2020-12-22,8513,1968
2020-12-23,10136,1623
2020-12-24,11490,1354
2020-12-25,11035,-455
2020-12-26,7709,-3326
2020-12-27,6113,-1596
2020-12-28,4385,-1728
2020-12-29,6988,2603
2020-12-30,7986,998
2020-12-31,9699,1713
2021-01-01,9432,-267
2021-01-02,5038,-4394
2021-01-03,4576,-462
2021-01-04,4158,-418
2021-01-05,5334,1176
2021-01-06,6911,1577
2021-01-07,8997,2086
2021-01-08,5676,-3321
2021-01-09,4846,-830
2021-01-10,5011,165
2021-01-11,4288,-723
2021-01-12,5116,828
2021-01-13,6409,1293
2021-01-14,7925,1516
2021-01-15,8199,274
2021-01-16,7729,-470
2021-01-17,5990,-1739
2021-01-18,3034,-2956
2021-01-19,3939,905
2021-01-20,4383,444
2021-01-21,5583,1200
2021-01-22,5348,-235
2021-01-23,4928,-420
2021-01-24,3915,-1013
2021-01-25,2516,-1399
2021-01-26,2779,263
2021-01-27,3776,997
2021-01-28,5529,1753
2021-01-29,5181,-348
2021-01-30,4685,-496
2021-01-31,3177,-1508
2021-02-01,2030,-1147
2021-02-02,2394,364
2021-02-03,3285,891
2021-02-04,5082,1797
2021-02-05,4923,-159
2021-02-06,4310,-613
2021-02-07,3370,-940
2021-02-08,2141,-1229
2021-02-09,2656,515
2021-02-10,3409,753
2021-02-11,5039,1630
2021-02-12,4773,-266
2021-02-13,5182,409
2021-02-14,3094,-2088
2021-02-15,2332,-762
2021-02-16,3143,811
2021-02-17,4286,1143
2021-02-18,6237,1951
2021-02-19,6531,294
2021-02-20,6295,-236
2021-02-21,4489,-1806
2021-02-22,3206,-1283
2021-02-23,4182,976
2021-02-24,5850,1668
2021-02-25,8147,2297
2021-02-26,8003,-144
2021-02-27,8172,169
2021-02-28,5833,-2339
2021-03-01,4285,-1548
2021-03-02,5336,1051
2021-03-03,7235,1899
2021-03-04,10057,2822
2021-03-05,10155,98
2021-03-06,9144,-1011
2021-03-07,7167,-1977
2021-03-08,5572,-1595
2021-03-09,3261,-2311
2021-03-10,6377,3116
2021-03-11,9084,2707
2021-03-12,12946,3862
2021-03-13,13276,330
2021-03-14,9012,-4264
2021-03-15,6792,-2220
2021-03-16,9642,2850
2021-03-17,11833,2191
2021-03-18,15053,3220
2021-03-19,15850,797
2021-03-20,15292,-558
2021-03-21,11145,-4147
2021-03-22,7893,-3252
2021-03-23,11476,3583
2021-03-24,14174,2698
