"Дата","Статистика летальних випадків від коронавірусу в Україні","дельта"
2020-01-03,0,
2020-01-04,0,
2020-01-05,0,
2020-01-06,0,
2020-01-07,0,
2020-01-08,0,
2020-01-09,0,
2020-01-10,0,
2020-01-11,0,
2020-01-12,0,
2020-01-13,0,
2020-01-14,0,
2020-01-15,0,
2020-01-16,0,
2020-01-17,0,
2020-01-18,0,
2020-01-19,0,
2020-01-20,0,
2020-01-21,0,
2020-01-22,0,
2020-01-23,0,
2020-01-24,0,
2020-01-25,0,
2020-01-26,0,
2020-01-27,0,
2020-01-28,0,
2020-01-29,0,
2020-01-30,0,
2020-01-31,0,
2020-02-01,0,
2020-02-02,0,
2020-02-03,0,
2020-02-04,0,
2020-02-05,0,
2020-02-06,0,
2020-02-07,0,
2020-02-08,0,
2020-02-09,0,
2020-02-10,0,
2020-02-11,0,
2020-02-12,0,
2020-02-13,0,
2020-02-14,0,
2020-02-15,0,
2020-02-16,0,
2020-02-17,0,
2020-02-18,0,
2020-02-19,0,
2020-02-20,0,
2020-02-21,0,
2020-02-22,0,
2020-02-23,0,
2020-02-24,0,
2020-02-25,0,
2020-02-26,0,
2020-02-27,0,
2020-02-28,0,
2020-02-29,0,
2020-03-01,0,
2020-03-02,0,
2020-03-03,0,
2020-03-04,0,
2020-03-05,0,
2020-03-06,0,
2020-03-07,0,
2020-03-08,0,
2020-03-09,0,
2020-03-10,0,
2020-03-11,0,
2020-03-12,0,
2020-03-13,0,
2020-03-14,1,1
2020-03-15,0,
2020-03-16,0,
2020-03-17,0,
2020-03-18,1,1
2020-03-19,0,
2020-03-20,0,
2020-03-21,1,1
2020-03-22,0,
2020-03-23,0,
2020-03-24,0,
2020-03-25,1,1
2020-03-26,1,0
2020-03-27,0,
2020-03-28,3,3
2020-03-29,1,-2
2020-03-30,2,1
2020-03-31,2,0
2020-04-01,4,2
2020-04-02,3,-1
2020-04-03,3,0
2020-04-04,5,2
2020-04-05,4,-1
2020-04-06,6,2
2020-04-07,7,1
2020-04-08,7,0
2020-04-09,5,-2
2020-04-10,12,7
2020-04-11,4,-8
2020-04-12,10,6
2020-04-13,10,0
2020-04-14,5,-5
2020-04-15,10,5
2020-04-16,7,-3
2020-04-17,10,3
2020-04-18,8,-2
2020-04-19,8,0
2020-04-20,10,2
2020-04-21,10,0
2020-04-22,13,3
2020-04-23,13,0
2020-04-24,6,-7
2020-04-25,8,2
2020-04-26,8,0
2020-04-27,11,3
2020-04-28,19,8
2020-04-29,11,-8
2020-04-30,11,0
2020-05-01,11,0
2020-05-02,7,-4
2020-05-03,9,2
2020-05-04,15,6
2020-05-05,13,-2
2020-05-06,11,-2
2020-05-07,13,2
2020-05-08,21,8
2020-05-09,15,-6
2020-05-10,15,0
2020-05-11,17,2
2020-05-12,17,0
2020-05-13,14,-3
2020-05-14,17,3
2020-05-15,20,3
2020-05-16,21,1
2020-05-17,17,-4
2020-05-18,21,4
2020-05-19,13,-8
2020-05-20,16,3
2020-05-21,15,-1
2020-05-22,9,-6
2020-05-23,17,8
2020-05-24,12,-5
2020-05-25,6,-6
2020-05-26,21,15
2020-05-27,14,-7
2020-05-28,11,-3
2020-05-29,10,-1
2020-05-30,17,7
2020-05-31,12,-5
2020-06-01,10,-2
2020-06-02,9,-1
2020-06-03,8,-1
2020-06-04,13,5
2020-06-05,14,1
2020-06-06,15,1
2020-06-07,11,-4
2020-06-08,9,-2
2020-06-09,13,4
2020-06-10,23,10
2020-06-11,21,-2
2020-06-12,16,-5
2020-06-13,10,-6
2020-06-14,9,-1
2020-06-15,12,3
2020-06-16,12,0
2020-06-17,30,18
2020-06-18,23,-7
2020-06-19,19,-4
2020-06-20,9,-10
2020-06-21,8,-1
2020-06-22,10,2
2020-06-23,23,13
2020-06-24,16,-7
2020-06-25,16,0
2020-06-26,19,3
2020-06-27,24,5
2020-06-28,19,-5
2020-06-29,18,-1
2020-06-30,12,-6
2020-07-01,14,2
2020-07-02,12,-2
2020-07-03,27,15
2020-07-04,15,-12
2020-07-05,22,7
2020-07-06,13,-9
2020-07-07,21,8
2020-07-08,24,3
2020-07-09,20,-4
2020-07-10,18,-2
2020-07-11,27,9
2020-07-12,11,-16
2020-07-13,15,4
2020-07-14,14,-1
2020-07-15,15,1
2020-07-16,18,3
2020-07-17,11,-7
2020-07-18,21,10
2020-07-19,8,-13
2020-07-20,13,5
2020-07-21,20,7
2020-07-22,16,-4
2020-07-23,17,1
2020-07-24,20,3
2020-07-25,19,-1
2020-07-26,15,-4
2020-07-27,11,-4
2020-07-28,13,2
2020-07-29,21,8
2020-07-30,23,2
2020-07-31,20,-3
2020-08-01,16,-4
2020-08-02,16,0
2020-08-03,13,-3
2020-08-04,26,13
2020-08-05,24,-2
2020-08-06,31,7
2020-08-07,33,2
2020-08-08,27,-6
2020-08-09,18,-9
2020-08-10,25,7
2020-08-11,29,4
2020-08-12,19,-10
2020-08-13,22,3
2020-08-14,19,-3
2020-08-15,33,14
2020-08-16,26,-7
2020-08-17,19,-7
2020-08-18,27,8
2020-08-19,28,1
2020-08-20,40,12
2020-08-21,23,-17
2020-08-22,37,14
2020-08-23,27,-10
2020-08-24,22,-5
2020-08-25,25,3
2020-08-26,36,11
2020-08-27,49,13
2020-08-28,48,-1
2020-08-29,41,-7
2020-08-30,35,-6
2020-08-31,30,-5
2020-09-01,48,18
2020-09-02,51,3
2020-09-03,54,3
2020-09-04,51,-3
2020-09-05,50,-1
2020-09-06,35,-15
2020-09-07,31,-4
2020-09-08,57,26
2020-09-09,45,-12
2020-09-10,44,-1
2020-09-11,53,9
2020-09-12,72,19
2020-09-13,30,-42
2020-09-14,33,3
2020-09-15,53,20
2020-09-16,76,23
2020-09-17,60,-16
2020-09-18,68,8
2020-09-19,48,-20
2020-09-20,41,-7
2020-09-21,26,-15
2020-09-22,59,33
2020-09-23,63,4
2020-09-24,52,-11
2020-09-25,70,18
2020-09-26,76,6
2020-09-27,56,-20
2020-09-28,37,-19
2020-09-29,69,32
2020-09-30,64,-5
2020-10-01,64,0
2020-10-02,68,4
2020-10-03,92,24
2020-10-04,44,-48
2020-10-05,33,-11
2020-10-06,90,57
2020-10-07,77,-13
2020-10-08,93,16
2020-10-09,89,-4
2020-10-10,108,19
2020-10-11,85,-23
2020-10-12,43,-42
2020-10-13,107,64
2020-10-14,107,0
2020-10-15,73,-34
2020-10-16,106,33
2020-10-17,109,3
2020-10-18,90,-19
2020-10-19,66,-24
2020-10-20,113,47
2020-10-21,141,28
2020-10-22,116,-25
2020-10-23,121,5
2020-10-24,125,4
2020-10-25,102,-23
2020-10-26,73,-29
2020-10-27,126,53
2020-10-28,165,39
2020-10-29,113,-52
2020-10-30,173,60
2020-10-31,155,-18
2020-11-01,110,-45
2020-11-02,69,-41
2020-11-03,157,88
2020-11-04,199,42
2020-11-05,193,-6
2020-11-06,202,9
2020-11-07,186,-16
2020-11-08,138,-48
2020-11-09,115,-23
2020-11-10,191,76
2020-11-11,191,0
2020-11-12,198,7
2020-11-13,172,-26
2020-11-14,191,19
2020-11-15,95,-96
2020-11-16,94,-1
2020-11-17,159,65
2020-11-18,256,97
2020-11-19,257,1
2020-11-20,229,-28
2020-11-21,215,-14
2020-11-22,138,-77
2020-11-23,124,-14
2020-11-24,188,64
2020-11-25,229,41
2020-11-26,225,-4
2020-11-27,192,-33
2020-11-28,184,-8
2020-11-29,120,-64
2020-11-30,114,-6
2020-12-01,221,107
2020-12-02,169,-52
2020-12-03,243,74
2020-12-04,235,-8
2020-12-05,226,-9
2020-12-06,167,-59
2020-12-07,145,-22
2020-12-08,195,50
2020-12-09,276,81
2020-12-10,266,-10
2020-12-11,285,19
2020-12-12,243,-42
2020-12-13,156,-87
2020-12-14,93,-63
2020-12-15,233,140
2020-12-16,264,31
2020-12-17,252,-12
2020-12-18,260,8
2020-12-19,213,-47
2020-12-20,116,-97
2020-12-21,80,-36
2020-12-22,232,152
2020-12-23,275,43
2020-12-24,223,-52
2020-12-25,186,-37
2020-12-26,121,-65
2020-12-27,72,-49
2020-12-28,75,3
2020-12-29,232,157
2020-12-30,243,11
2020-12-31,209,-34
2021-01-01,147,-62
2021-01-02,51,-96
2021-01-03,123,72
2021-01-04,73,-50
2021-01-05,202,129
2021-01-06,228,26
2021-01-07,148,-80
2021-01-08,83,-65
2021-01-09,80,-3
2021-01-10,99,19
2021-01-11,68,-31
2021-01-12,184,116
2021-01-13,195,11
2021-01-14,162,-33
2021-01-15,166,4
2021-01-16,144,-22
2021-01-17,116,-28
2021-01-18,67,-49
2021-01-19,177,110
2021-01-20,212,35
2021-01-21,241,29
2021-01-22,163,-78
2021-01-23,116,-47
2021-01-24,83,-33
2021-01-25,63,-20
2021-01-26,133,70
2021-01-27,145,12
2021-01-28,149,4
2021-01-29,128,-21
2021-01-30,149,21
2021-01-31,79,-70
2021-02-01,61,-18
2021-02-02,156,95
2021-02-03,165,9
2021-02-04,140,-25
2021-02-05,158,18
2021-02-06,129,-29
2021-02-07,81,-48
2021-02-08,47,-34
2021-02-09,127,80
2021-02-10,163,36
2021-02-11,124,-39
2021-02-12,116,-8
2021-02-13,111,-5
2021-02-14,45,-66
2021-02-15,62,17
2021-02-16,150,88
2021-02-17,147,-3
2021-02-18,163,16
2021-02-19,120,-43
2021-02-20,73,-47
2021-02-21,58,-15
2021-02-22,53,-5
2021-02-23,153,100
2021-02-24,152,-1
2021-02-25,135,-17
2021-02-26,146,11
2021-02-27,151,5
2021-02-28,89,-62
2021-03-01,68,-21
2021-03-02,162,94
2021-03-03,185,23
2021-03-04,194,9
2021-03-05,172,-22
2021-03-06,156,-16
2021-03-07,103,-53
2021-03-08,106,3
2021-03-09,76,-30
2021-03-10,219,143
2021-03-11,262,43
2021-03-12,230,-32
2021-03-13,243,13
2021-03-14,145,-98
2021-03-15,130,-15
2021-03-16,264,134
2021-03-17,289,25
2021-03-18,267,-22
2021-03-19,262,-5
2021-03-20,260,-2
2021-03-21,166,-94
2021-03-22,157,-9
2021-03-23,333,176
2021-03-24,342,9
2021-03-25,362,20
2021-03-26,326,-36
2021-03-27,290,-36
2021-03-28,203,-87
2021-03-29,178,-25
2021-03-30,286,108
2021-03-31,407,121
2021-04-01,421,14
2021-04-02,433,12
2021-04-03,396,-37
2021-04-04,258,-138
2021-04-05,254,-4
2021-04-06,430,176
2021-04-07,481,51
2021-04-08,464,-17
2021-04-09,419,-45
2021-04-10,398,-21
2021-04-11,235,-163
2021-04-12,287,52
2021-04-13,457,170
2021-04-14,467,10
2021-04-15,433,-34
2021-04-16,438,5
2021-04-17,440,2
2021-04-18,250,-190
2021-04-19,214,-36
2021-04-20,367,153
