"Дата","Статистика продажу квартир в Україні","дельта"
2022-07-15,137379,
2022-07-16,135638,-1741
2022-07-17,133857,-1781
2022-07-18,134585,728
2022-07-19,137171,2586
2022-07-20,138725,1554
2022-07-21,133682,-5043
2022-07-22,134296,614
2022-07-23,137286,2990
2022-07-24,139813,2527
2022-07-25,136213,-3600
2022-07-26,134137,-2076
2022-07-27,135210,1073
2022-07-28,137658,2448
2022-07-29,139627,1969
2022-07-30,139480,-147
2022-07-31,138621,-859
2022-08-01,138075,-546
2022-08-02,138782,707
2022-08-03,139708,926
2022-08-04,141694,1986
2022-08-05,142033,339
2022-08-06,145813,3780
2022-08-07,143489,-2324
2022-08-08,142239,-1250
2022-08-09,142026,-213
2022-08-10,142609,583
2022-08-11,143062,453
2022-08-12,145415,2353
2022-08-13,142777,-2638
2022-08-14,143925,1148
2022-08-15,143302,-623
2022-08-16,143474,172
2022-08-17,144132,658
2022-08-18,146650,2518
2022-08-19,147385,735
2022-08-20,147072,-313
2022-08-21,145797,-1275
2022-08-22,145958,161
2022-08-23,144720,-1238
2022-08-24,144651,-69
2022-08-25,127093,-17558
2022-08-26,98394,-28699
2022-08-27,48730,-49664
2022-08-28,48560,-170
2022-08-29,141886,93326
2022-08-30,139625,-2261
2022-08-31,144751,5126
2022-09-01,141373,-3378
2022-09-02,143451,2078
2022-09-03,141225,-2226
2022-09-04,138051,-3174
2022-09-05,137546,-505
2022-09-06,144441,6895
2022-09-07,142567,-1874
2022-09-08,142372,-195
2022-09-09,142737,365
2022-09-10,141784,-953
2022-09-11,140655,-1129
2022-09-12,140061,-594
2022-09-13,139113,-948
2022-09-14,138249,-864
2022-09-15,139972,1723
2022-09-16,137819,-2153
2022-09-17,136791,-1028
2022-09-18,135613,-1178
2022-09-19,136768,1155
2022-09-20,125551,-11217
2022-09-21,144828,19277
2022-09-22,165781,20953
2022-09-23,166812,1031
2022-09-24,132976,-33836
2022-09-25,135533,2557
2022-09-26,132715,-2818
2022-09-27,120483,-12232
2022-09-28,143564,23081
2022-09-29,143986,422
2022-09-30,149480,5494
2022-10-01,153624,4144
2022-10-02,138763,-14861
2022-10-03,142570,3807
2022-10-04,145685,3115
2022-10-05,155585,9900
2022-10-06,160638,5053
2022-10-07,148667,-11971
2022-10-08,151702,3035
2022-10-09,157521,5819
2022-10-10,158535,1014
2022-10-11,160392,1857
2022-10-12,129516,-30876
2022-10-13,129655,139
2022-10-14,151251,21596
2022-10-15,150690,-561
2022-10-16,154907,4217
2022-10-17,157322,2415
2022-10-18,150759,-6563
2022-10-19,155043,4284
2022-10-20,148666,-6377
2022-10-21,154927,6261
2022-10-22,150384,-4543
2022-10-23,150392,8
2022-10-24,149508,-884
2022-10-25,155448,5940
2022-10-26,156349,901
2022-10-27,155113,-1236
2022-10-28,157788,2675
2022-10-29,158373,585
2022-10-30,165363,6990
2022-10-31,168273,2910
2022-11-01,168696,423
2022-11-02,157111,-11585
2022-11-03,160982,3871
2022-11-04,159530,-1452
2022-11-05,164045,4515
2022-11-06,162802,-1243
2022-11-07,161873,-929
2022-11-08,162303,430
2022-11-09,168104,5801
2022-11-10,159866,-8238
2022-11-11,166759,6893
2022-11-12,171433,4674
2022-11-13,162490,-8943
2022-11-14,169096,6606
2022-11-15,161095,-8001
2022-11-16,169387,8292
2022-11-17,168369,-1018
2022-11-18,155316,-13053
2022-11-19,170662,15346
2022-11-20,185217,14555
2022-11-21,173416,-11801
2022-11-22,155965,-17451
2022-11-23,160776,4811
2022-11-24,168940,8164
2022-11-25,174426,5486
2022-11-26,192295,17869
2022-11-27,175364,-16931
2022-11-28,176083,719
2022-11-29,170707,-5376
2022-11-30,164784,-5923
2022-12-01,170726,5942
2022-12-02,175445,4719
2022-12-03,171549,-3896
2022-12-04,170642,-907
2022-12-05,170629,-13
2022-12-06,171798,1169
2022-12-07,172013,215
2022-12-08,171326,-687
2022-12-09,171282,-44
2022-12-10,171410,128
2022-12-11,171566,156
2022-12-12,171519,-47
2022-12-13,171421,-98
2022-12-14,171440,19
2022-12-15,173559,2119
2022-12-16,181467,7908
2022-12-17,187726,6259
2022-12-18,197814,10088
2022-12-19,202280,4466
2022-12-20,203839,1559
2022-12-21,207596,3757
2022-12-22,209339,1743
2022-12-23,173512,-35827
2022-12-24,180652,7140
2022-12-25,179938,-714
2022-12-26,184672,4734
2022-12-27,189311,4639
2022-12-28,187275,-2036
2022-12-29,178907,-8368
2022-12-30,184614,5707
2022-12-31,154315,-30299
2023-01-01,159084,4769
2023-01-02,158112,-972
2023-01-03,167006,8894
2023-01-04,170306,3300
2023-01-05,167614,-2692
2023-01-06,166717,-897
2023-01-07,170489,3772
2023-01-08,169365,-1124
2023-01-09,166664,-2701
2023-01-10,163414,-3250
2023-01-11,159625,-3789
2023-01-12,163784,4159
2023-01-13,161719,-2065
2023-01-14,159697,-2022
2023-01-15,159691,-6
2023-01-16,160385,694
2023-01-17,167692,7307
2023-01-18,180800,13108
2023-01-19,175908,-4892
2023-01-20,182385,6477
2023-01-21,188636,6251
2023-01-22,197680,9044
2023-01-23,204535,6855
2023-01-24,206140,1605
2023-01-25,206464,324
2023-01-26,210774,4310
2023-01-27,211453,679
2023-01-28,212302,849
2023-01-29,210593,-1709
2023-01-30,198969,-11624
2023-01-31,198977,8
2023-02-01,0,-198977
2023-02-02,204435,5458
2023-02-03,0,-204435
2023-02-04,201056,-3379
2023-02-05,199211,-1845
2023-02-06,198475,-736
2023-02-07,202715,4240
2023-02-08,206441,3726
2023-02-09,212049,5608
2023-02-10,212585,536
2023-02-11,211281,-1304
2023-02-12,207701,-3580
2023-02-13,204261,-3440
2023-02-14,211304,7043
2023-02-15,214627,3323
2023-02-16,211293,-3334
2023-02-17,218334,7041
2023-02-18,247719,29385
2023-02-19,269541,21822
2023-02-20,267538,-2003
2023-02-21,209857,-57681
2023-02-22,217705,7848
2023-02-23,215284,-2421
2023-02-24,221029,5745
2023-02-25,223766,2737
2023-02-26,224027,261
2023-02-27,222144,-1883
2023-02-28,220275,-1869
2023-03-01,226828,6553
2023-03-02,228241,1413
2023-03-03,228207,-34
2023-03-04,231334,3127
2023-03-05,233976,2642
2023-03-06,229182,-4794
2023-03-07,219725,-9457
2023-03-08,225452,5727
2023-03-09,234452,9000
2023-03-10,236834,2382
2023-03-11,236600,-234
2023-03-12,231545,-5055
2023-03-13,233406,1861
2023-03-14,226469,-6937
2023-03-15,234374,7905
2023-03-16,234334,-40
2023-03-17,234377,43
2023-03-18,236811,2434
2023-03-19,237692,881
2023-03-20,236099,-1593
2023-03-21,235060,-1039
2023-03-22,242285,7225
2023-03-23,242185,-100
2023-03-24,244561,2376
2023-03-25,251537,6976
2023-03-26,239699,-11838
2023-03-27,247687,7988
2023-03-28,0,-247687
2023-03-29,0,-247687
2023-03-30,0,-247687
2023-03-31,0,-247687
2023-04-01,0,-247687
