"Дата","Статистика курсу долара до гривні","дельта"
2004-04-20,5.3288,5.3288
2004-04-21,5.3288,0
2004-04-22,5.3288,0
2004-04-23,5.3288,0
2004-04-24,5.3288,0
2004-04-25,5.3288,0
2004-04-26,5.3288,0
2004-04-27,5.3288,0
2004-04-28,5.3288,0
2004-04-29,5.3288,0
2004-04-30,5.3287,-9.9999999999767E-5
2004-05-01,5.3287,0
2004-05-02,5.3287,0
2004-05-03,5.3287,0
2004-05-04,5.3287,0
2004-05-05,5.3285,-0.00020000000000042
2004-05-06,5.3285,0
2004-05-07,5.3284,-9.9999999999767E-5
2004-05-08,5.3284,0
2004-05-09,5.3284,0
2004-05-10,5.3284,0
2004-05-11,5.3282,-0.00020000000000042
2004-05-12,5.3282,0
2004-05-13,5.328,-0.00019999999999953
2004-05-14,5.3279,-0.00010000000000066
2004-05-15,5.3279,0
2004-05-16,5.3279,0
2004-05-17,5.328,0.00010000000000066
2004-05-18,5.3277,-0.00030000000000019
2004-05-19,5.3276,-9.9999999999767E-5
2004-05-20,5.3274,-0.00020000000000042
2004-05-21,5.3269,-0.00049999999999972
2004-05-22,5.3269,0
2004-05-23,5.3269,0
2004-05-24,5.3268,-9.9999999999767E-5
2004-05-25,5.326,-0.0008000000000008
2004-05-26,5.3255,-0.00049999999999972
2004-05-27,5.3254,-9.9999999999767E-5
2004-05-28,5.325,-0.00039999999999996
2004-05-29,5.325,0
2004-05-30,5.325,0
2004-05-31,5.325,0
2004-06-01,5.3245,-0.00050000000000061
2004-06-02,5.3242,-0.0002999999999993
2004-06-03,5.3237,-0.00050000000000061
2004-06-04,5.323,-0.00069999999999926
2004-06-05,5.323,0
2004-06-06,5.323,0
2004-06-07,5.3227,-0.00030000000000019
2004-06-08,5.3224,-0.00030000000000019
2004-06-09,5.3224,0
2004-06-10,5.322,-0.00039999999999996
2004-06-11,5.322,0
2004-06-12,5.322,0
2004-06-13,5.322,0
2004-06-14,5.3215,-0.00049999999999972
2004-06-15,5.3215,0
2004-06-16,5.3215,0
2004-06-17,5.3215,0
2004-06-18,5.3215,0
2004-06-19,5.3215,0
2004-06-20,5.3215,0
2004-06-21,5.3214,-0.00010000000000066
2004-06-22,5.3215,0.00010000000000066
2004-06-23,5.3214,-0.00010000000000066
2004-06-24,5.3213,-9.9999999999767E-5
2004-06-25,5.3211,-0.00019999999999953
2004-06-26,5.3211,0
2004-06-27,5.3211,0
2004-06-28,5.3211,0
2004-06-29,5.321,-0.00010000000000066
2004-06-30,5.3207,-0.0002999999999993
2004-07-01,5.32,-0.00070000000000014
2004-07-02,5.32,0
2004-07-03,5.32,0
2004-07-04,5.32,0
2004-07-05,5.3199,-0.00010000000000066
2004-07-06,5.3199,0
2004-07-07,5.3197,-0.00019999999999953
2004-07-08,5.3196,-9.9999999999767E-5
2004-07-09,5.3195,-0.00010000000000066
2004-07-10,5.3195,0
2004-07-11,5.3195,0
2004-07-12,5.3189,-0.00059999999999949
2004-07-13,5.3189,0
2004-07-14,5.3185,-0.00039999999999996
2004-07-15,5.3181,-0.00039999999999996
2004-07-16,5.3179,-0.00020000000000042
2004-07-17,5.3179,0
2004-07-18,5.3179,0
2004-07-19,5.3177,-0.00019999999999953
2004-07-20,5.317,-0.00070000000000014
2004-07-21,5.317,0
2004-07-22,5.3168,-0.00020000000000042
2004-07-23,5.3167,-9.9999999999767E-5
2004-07-24,5.3167,0
2004-07-25,5.3167,0
2004-07-26,5.3165,-0.00020000000000042
2004-07-27,5.3163,-0.00019999999999953
