"Дата","Статистика курсу рубля до гривні","дельта"
2004-04-20,0.18587,0.18587
2004-04-21,0.18525,-0.00062000000000001
2004-04-22,0.18424,-0.00101
2004-04-23,0.18388,-0.00036
2004-04-24,0.18388,0
2004-04-25,0.18388,0
2004-04-26,0.18396,8.0000000000024E-5
2004-04-27,0.18373,-0.00023000000000001
2004-04-28,0.18458,0.00084999999999999
2004-04-29,0.18462,4.0000000000012E-5
2004-04-30,0.18449,-0.00013000000000002
2004-05-01,0.18449,0
2004-05-02,0.18449,0
2004-05-03,0.18449,0
2004-05-04,0.18449,0
2004-05-05,0.18399,-0.0005
2004-05-06,0.18439,0.00040000000000001
2004-05-07,0.18455,0.00015999999999999
2004-05-08,0.18455,0
2004-05-09,0.18455,0
2004-05-10,0.18455,0
2004-05-11,0.18403,-0.00051999999999999
2004-05-12,0.18382,-0.00020999999999999
2004-05-13,0.18335,-0.00047
2004-05-14,0.18323,-0.00012000000000001
2004-05-15,0.18323,0
2004-05-16,0.18323,0
2004-05-17,0.18329,6.0000000000004E-5
2004-05-18,0.18344,0.00014999999999998
2004-05-19,0.18372,0.00028
2004-05-20,0.18375,3.0000000000002E-5
2004-05-21,0.18375,0
2004-05-22,0.18375,0
2004-05-23,0.18375,0
2004-05-24,0.18377,1.9999999999992E-5
2004-05-25,0.18371,-5.9999999999977E-5
2004-05-26,0.18379,7.9999999999997E-5
2004-05-27,0.18375,-4.0000000000012E-5
2004-05-28,0.18372,-3.0000000000002E-5
2004-05-29,0.18372,0
2004-05-30,0.18372,0
2004-05-31,0.18372,0
2004-06-01,0.1837,-1.9999999999992E-5
2004-06-02,0.18356,-0.00014
2004-06-03,0.18325,-0.00031
2004-06-04,0.18301,-0.00023999999999999
2004-06-05,0.18301,0
2004-06-06,0.18301,0
2004-06-07,0.18313,0.00011999999999998
2004-06-08,0.18331,0.00018000000000001
2004-06-09,0.18339,7.9999999999997E-5
2004-06-10,0.1833,-9.0000000000007E-5
2004-06-11,0.18325,-4.9999999999994E-5
2004-06-12,0.18325,0
2004-06-13,0.18325,0
2004-06-14,0.18332,7.0000000000014E-5
2004-06-15,0.18332,0
2004-06-16,0.18337,4.9999999999994E-5
2004-06-17,0.18337,0
2004-06-18,0.18332,-4.9999999999994E-5
2004-06-19,0.18332,0
2004-06-20,0.18332,0
2004-06-21,0.18333,9.9999999999822E-6
2004-06-22,0.18339,6.0000000000004E-5
2004-06-23,0.18337,-1.9999999999992E-5
2004-06-24,0.18334,-3.0000000000002E-5
2004-06-25,0.18335,1.000000000001E-5
2004-06-26,0.18335,0
2004-06-27,0.18335,0
2004-06-28,0.18335,0
2004-06-29,0.18332,-3.0000000000002E-5
2004-06-30,0.1833,-2.000000000002E-5
2004-07-01,0.18315,-0.00014999999999998
2004-07-02,0.1832,4.9999999999994E-5
2004-07-03,0.1832,0
2004-07-04,0.1832,0
2004-07-05,0.18319,-1.000000000001E-5
