"Дата","Кількість оголошень про послуги за типом в Україні","дельта"
2022-05-20,2689352,
2022-05-21,2689950,598
2022-05-22,2690840,890
2022-05-23,2692081,1241
2022-05-24,2692645,564
2022-05-25,2693991,1346
2022-05-26,2695140,1149
2022-05-27,2696238,1098
2022-05-28,2697488,1250
2022-05-29,2698604,1116
2022-05-30,2699964,1360
2022-05-31,2700901,937
2022-06-01,2700727,-174
2022-06-02,2701460,733
2022-06-03,2703174,1714
2022-06-04,2703559,385
2022-06-05,2703520,-39
2022-06-06,2704756,1236
2022-06-07,2706359,1603
2022-06-08,2707055,696
2022-06-09,2707819,764
2022-06-10,2708599,780
2022-06-11,2709697,1098
2022-06-12,2709915,218
2022-06-13,2710577,662
2022-06-14,2710261,-316
2022-06-15,2711147,886
2022-06-16,2712120,973
2022-06-17,2712958,838
2022-06-18,2713537,579
2022-06-19,2714352,815
2022-06-20,2714771,419
2022-06-21,2715683,912
2022-06-22,2716272,589
2022-06-23,2717189,917
2022-06-24,2717276,87
2022-06-25,2718213,937
2022-06-26,2718657,444
2022-06-27,2719462,805
2022-06-28,2719573,111
2022-06-29,2720403,830
2022-06-30,2720708,305
2022-07-01,2721690,982
2022-07-02,2722184,494
2022-07-03,2723009,825
2022-07-04,2723351,342
2022-07-05,2724323,972
2022-07-06,2724960,637
2022-07-07,2726598,1638
2022-07-08,2727492,894
2022-07-09,2728205,713
2022-07-10,2728798,593
2022-07-11,2729320,522
2022-07-12,2729993,673
2022-07-13,2730992,999
2022-07-14,2760279,29287
2022-07-15,2761084,805
2022-07-16,2761995,911
2022-07-17,2762435,440
2022-07-18,2762830,395
2022-07-19,2763346,516
2022-07-20,2763923,577
2022-07-21,2764146,223
2022-07-22,2764723,577
2022-07-23,2765218,495
2022-07-24,2765495,277
2022-07-25,2767326,1831
2022-07-26,2767518,192
2022-07-27,2769366,1848
2022-07-28,2769808,442
2022-07-29,2770188,380
2022-07-30,2770446,258
2022-07-31,2771205,759
2022-08-01,2771255,50
2022-08-02,2771992,737
2022-08-03,2772604,612
2022-08-04,2773031,427
2022-08-05,2773581,550
2022-08-06,2773341,-240
2022-08-07,2773661,320
2022-08-08,2774751,1090
2022-08-09,2775801,1050
2022-08-10,2775837,36
2022-08-11,2776812,975
2022-08-12,2777504,692
2022-08-13,2777628,124
2022-08-14,2777942,314
2022-08-15,2778570,628
2022-08-16,2779274,704
2022-08-17,2779768,494
2022-08-18,2781057,1289
2022-08-19,2781276,219
2022-08-20,2781914,638
2022-08-21,2782725,811
2022-08-22,2782852,127
2022-08-23,2783490,638
2022-08-24,2783626,136
2022-08-25,2784522,896
2022-08-26,2784658,136
2022-08-27,2784803,145
2022-08-28,2785600,797
2022-08-29,2786469,869
2022-08-30,2787708,1239
2022-08-31,2788132,424
2022-09-01,2805205,17073
2022-09-02,2806197,992
2022-09-03,2806399,202
2022-09-04,2806891,492
2022-09-05,2806785,-106
2022-09-06,2807972,1187
2022-09-07,2808624,652
2022-09-08,2809230,606
2022-09-09,2810185,955
2022-09-10,2810968,783
2022-09-11,2810765,-203
2022-09-12,2811447,682
2022-09-13,2812569,1122
2022-09-14,2813093,524
2022-09-15,2813342,249
2022-09-16,2814350,1008
2022-09-17,2814528,178
2022-09-18,2815786,1258
2022-09-19,2816501,715
2022-09-20,2816710,209
2022-09-21,2817648,938
2022-09-22,2818453,805
2022-09-23,2819391,938
2022-09-24,2819211,-180
2022-09-25,2819167,-44
2022-09-26,2819985,818
2022-09-27,2820399,414
2022-09-28,2821333,934
2022-09-29,2822210,877
2022-09-30,2822667,457
2022-10-01,2823370,703
2022-10-02,2823911,541
2022-10-03,2824128,217
2022-10-04,2825275,1147
2022-10-05,2826589,1314
2022-10-06,2827131,542
2022-10-07,2827275,144
2022-10-08,2827160,-115
2022-10-09,2827747,587
2022-10-10,2827622,-125
2022-10-11,2828362,740
2022-10-12,2829033,671
2022-10-13,2829160,127
2022-10-14,2830675,1515
2022-10-15,2831300,625
2022-10-16,2831064,-236
2022-10-17,2831934,870
2022-10-18,2832141,207
2022-10-19,2832977,836
2022-10-20,2833306,329
2022-10-21,2833769,463
