"Дата","Прийняті парламентом закони по категоріям","дельта"
1996-01-01,56,
1997-01-01,7,-49
1998-01-01,1469,1462
1999-01-01,1955,486
2000-01-01,1936,-19
2001-01-01,2034,98
2002-01-01,1994,-40
2003-01-01,2753,759
2004-01-01,2585,-168
2005-01-01,2938,353
2006-01-01,2451,-487
2007-01-01,2075,-376
2008-01-01,2716,641
2009-01-01,2625,-91
2010-01-01,2553,-72
2011-01-01,2803,250
2012-01-01,2936,133
2013-01-01,4107,1171
2014-01-01,3762,-345
2015-01-01,4279,517
2016-01-01,1917,-2362
2017-01-01,2276,359
2018-01-01,1961,-315
2019-01-01,2465,504
2020-01-01,2899,434
2021-01-01,2738,-161
2022-01-01,1188,-1550
