"Дата","Статистика кількості репетиторів по містах України","дельта"
2022-07-08,49184,
2022-07-09,49173,-11
2022-07-10,49202,29
2022-07-11,49213,11
2022-07-12,49291,78
2022-07-13,49337,46
2022-07-14,49392,55
2022-07-15,49418,26
2022-07-16,49440,22
2022-07-17,49433,-7
2022-07-18,49560,127
2022-07-19,49569,9
2022-07-20,49597,28
2022-07-21,49595,-2
2022-07-22,49635,40
2022-07-23,49663,28
2022-07-24,49650,-13
2022-07-25,49733,83
2022-07-26,49734,1
2022-07-27,49733,-1
2022-07-28,49741,8
2022-07-29,49783,42
2022-07-30,49792,9
2022-07-31,49794,2
2022-08-01,49861,67
2022-08-02,49877,16
2022-08-03,49917,40
2022-08-04,49946,29
2022-08-05,49993,47
2022-08-06,49972,-21
2022-08-07,49979,7
2022-08-08,50039,60
2022-08-09,50111,72
2022-08-10,50111,0
2022-08-11,50154,43
2022-08-12,50197,43
2022-08-13,50192,-5
2022-08-14,50193,1
2022-08-15,50262,69
2022-08-16,50306,44
2022-08-17,50317,11
2022-08-18,50343,26
2022-08-19,50363,20
2022-08-20,50360,-3
2022-08-21,50377,17
2022-08-22,50460,83
2022-08-23,50498,38
2022-08-24,50476,-22
2022-08-25,50522,46
2022-08-26,50591,69
2022-08-27,50601,10
2022-08-28,50631,30
2022-08-29,50660,29
2022-08-30,50725,65
2022-08-31,50762,37
2022-09-01,50783,21
2022-09-02,50793,10
2022-09-03,50745,-48
2022-09-04,50742,-3
2022-09-05,50706,-36
2022-09-06,50680,-26
2022-09-07,50793,113
2022-09-08,50744,-49
2022-09-09,50784,40
2022-09-10,50741,-43
2022-09-11,50735,-6
2022-09-12,50794,59
2022-09-13,50800,6
2022-09-14,50830,30
2022-09-15,50934,104
2022-09-16,51026,92
2022-09-17,51040,14
2022-09-18,51051,11
2022-09-19,51059,8
2022-09-20,51025,-34
2022-09-21,51013,-12
2022-09-22,50983,-30
2022-09-23,50960,-23
2022-09-24,50934,-26
2022-09-25,50938,4
2022-09-26,50947,9
2022-09-27,50950,3
2022-09-28,50953,3
2022-09-29,50954,1
2022-09-30,50909,-45
2022-10-01,50954,45
2022-10-02,50967,13
2022-10-03,51036,69
2022-10-04,51044,8
2022-10-05,51044,0
2022-10-06,51069,25
2022-10-07,51028,-41
2022-10-08,51030,2
2022-10-09,51029,-1
2022-10-10,51032,3
2022-10-11,51050,18
2022-10-12,51079,29
2022-10-13,51097,18
2022-10-14,51090,-7
2022-10-15,51100,10
2022-10-16,51065,-35
2022-10-17,51103,38
2022-10-18,51170,67
2022-10-19,51188,18
2022-10-20,51179,-9
2022-10-21,51178,-1
2022-10-22,51189,11
2022-10-23,51201,12
2022-10-24,51207,6
2022-10-25,51247,40
2022-10-26,51249,2
2022-10-27,51254,5
2022-10-28,51009,-245
2022-10-29,51034,25
2022-10-30,51037,3
2022-10-31,51072,35
2022-11-01,51047,-25
2022-11-02,51027,-20
2022-11-03,51024,-3
2022-11-04,51049,25
2022-11-05,51076,27
2022-11-06,51104,28
2022-11-07,51083,-21
2022-11-08,51144,61
2022-11-09,51130,-14
2022-11-10,51078,-52
2022-11-11,51150,72
2022-11-12,51165,15
2022-11-13,51171,6
2022-11-14,51190,19
2022-11-15,51221,31
2022-11-16,51174,-47
2022-11-17,51128,-46
2022-11-18,51175,47
2022-11-19,51166,-9
2022-11-20,51183,17
2022-11-21,51149,-34
2022-11-22,51237,88
2022-11-23,51222,-15
2022-11-24,51193,-29
2022-11-25,51198,5
2022-11-26,51176,-22
2022-11-27,51188,12
2022-11-28,51249,61
2022-11-29,51268,19
2022-11-30,51293,25
2022-12-01,51310,17
2022-12-02,51312,2
2022-12-03,51341,29
2022-12-04,51345,4
2022-12-05,51425,80
2022-12-06,51462,37
2022-12-07,51461,-1
2022-12-08,51452,-9
2022-12-09,51466,14
2022-12-10,51459,-7
2022-12-11,51478,19
2022-12-12,51544,66
2022-12-13,51541,-3
2022-12-14,51545,4
2022-12-15,51544,-1
2022-12-16,51530,-14
2022-12-17,51518,-12
2022-12-18,51526,8
2022-12-19,51581,55
2022-12-20,51557,-24
2022-12-21,51550,-7
2022-12-22,51595,45
2022-12-23,51607,12
2022-12-24,51616,9
2022-12-25,51609,-7
2022-12-26,51617,8
2022-12-27,51639,22
2022-12-28,51646,7
2022-12-29,51659,13
2022-12-30,51688,29
2022-12-31,51712,24
2023-01-01,51739,27
2023-01-02,51790,51
2023-01-03,51795,5
2023-01-04,51827,32
2023-01-05,51798,-29
2023-01-06,51834,36
2023-01-07,51865,31
2023-01-08,51878,13
2023-01-09,51889,11
2023-01-10,51868,-21
2023-01-11,51843,-25
2023-01-12,51803,-40
2023-01-13,51771,-32
2023-01-14,51783,12
2023-01-15,51795,12
2023-01-16,51767,-28
2023-01-17,51802,35
2023-01-18,51840,38
2023-01-19,51851,11
2023-01-20,51836,-15
2023-01-21,51840,4
2023-01-22,51848,8
2023-01-23,51820,-28
2023-01-24,51763,-57
2023-01-25,51758,-5
2023-01-26,51813,55
2023-01-27,51806,-7
2023-01-28,51788,-18
2023-01-29,51792,4
2023-01-30,51767,-25
2023-01-31,51711,-56
2023-02-01,51662,-49
2023-02-02,51610,-52
2023-02-03,51601,-9
2023-02-04,51608,7
2023-02-05,51593,-15
2023-02-06,51566,-27
2023-02-07,51496,-70
2023-02-08,51462,-34
2023-02-09,51530,68
2023-02-10,51594,64
2023-02-11,51576,-18
2023-02-12,51581,5
2023-02-13,51576,-5
2023-02-14,51516,-60
2023-02-15,51551,35
2023-02-16,51544,-7
2023-02-17,51536,-8
2023-02-18,51540,4
2023-02-19,51510,-30
2023-02-20,51515,5
