"Дата","Втрати артилерійських систем армії рф","дельта"
2022-03-01,77,77
2022-03-02,85,8
2022-03-03,90,5
2022-03-04,105,15
2022-03-05,105,0
2022-03-06,109,4
2022-03-07,117,8
2022-03-08,120,3
2022-03-09,120,0
2022-03-10,123,3
2022-03-11,125,2
2022-03-12,135,10
2022-03-13,140,5
2022-03-14,150,10
2022-03-15,150,0
2022-03-16,190,40
2022-03-17,201,11
2022-03-18,205,4
2022-03-19,213,8
2022-03-20,230,17
2022-03-21,240,10
2022-03-22,252,12
2022-03-23,267,15
2022-03-24,280,13
2022-03-25,291,11
2022-03-26,293,2
2022-03-27,294,1
2022-03-28,302,8
2022-03-29,303,1
2022-03-30,305,2
2022-03-31,311,6
2022-04-01,316,5
2022-04-02,317,1
2022-04-03,325,8
2022-04-04,330,5
2022-04-05,332,2
2022-04-06,332,0
2022-04-07,332,0
2022-04-08,333,1
2022-04-09,335,2
2022-04-10,342,7
2022-04-11,347,5
2022-04-12,349,2
2022-04-13,358,9
2022-04-14,366,8
2022-04-15,366,0
2022-04-16,371,5
2022-04-17,376,5
2022-04-18,381,5
2022-04-19,386,5
2022-04-20,391,5
2022-04-21,393,2
2022-04-22,397,4
2022-04-23,403,6
2022-04-24,408,5
2022-04-25,411,3
2022-04-26,416,5
2022-04-27,421,5
2022-04-28,431,10
2022-04-29,435,4
2022-04-30,436,1
2022-05-01,451,15
2022-05-02,459,8
2022-05-03,475,16
2022-05-04,491,16
2022-05-05,499,8
2022-05-06,502,3
2022-05-07,509,7
2022-05-08,509,0
2022-05-09,513,4
2022-05-10,519,6
2022-05-11,528,9
2022-05-12,534,6
2022-05-13,542,8
2022-05-14,551,9
2022-05-15,555,4
2022-05-16,577,22
2022-05-17,578,1
2022-05-18,586,8
2022-05-19,595,9
2022-05-20,596,1
2022-05-21,596,0
2022-05-22,599,3
2022-05-23,604,5
2022-05-24,606,2
2022-05-25,606,0
2022-05-26,617,11
2022-05-27,623,6
2022-05-28,628,5
2022-05-29,631,3
2022-05-30,643,12
2022-05-31,649,6
2022-06-01,659,10
2022-06-02,661,2
2022-06-03,661,0
2022-06-04,680,19
2022-06-05,686,6
2022-06-06,690,4
2022-06-07,694,4
2022-06-08,703,9
2022-06-09,711,8
2022-06-10,712,1
2022-06-11,712,0
2022-06-12,715,3
2022-06-13,718,3
2022-06-14,721,3
2022-06-15,722,1
2022-06-16,729,7
2022-06-17,734,5
2022-06-18,739,5
2022-06-19,745,6
2022-06-20,749,4
2022-06-21,752,3
2022-06-22,752,0
2022-06-23,756,4
2022-06-24,759,3
2022-06-25,764,5
2022-06-26,764,0
2022-06-27,771,7
2022-06-28,778,7
2022-06-29,781,3
2022-06-30,790,9
2022-07-01,796,6
2022-07-02,800,4
2022-07-03,801,1
2022-07-04,804,3
2022-07-05,806,2
2022-07-06,812,6
2022-07-07,815,3
2022-07-08,828,13
2022-07-09,832,4
2022-07-10,834,2
2022-07-11,838,4
