"Дата","Втрати безпілотних літальних апаратів рф","дельта"
2022-02-27,2,2
2022-02-28,3,1
2022-03-01,3,0
2022-03-02,3,0
2022-03-03,3,0
2022-03-04,3,0
2022-03-05,3,0
2022-03-06,4,1
2022-03-07,7,3
2022-03-08,7,0
2022-03-09,7,0
2022-03-10,7,0
2022-03-11,7,0
2022-03-12,7,0
2022-03-13,7,0
2022-03-14,8,1
2022-03-15,9,1
2022-03-16,11,2
2022-03-17,11,0
2022-03-18,12,1
2022-03-19,17,5
2022-03-20,21,4
2022-03-21,24,3
2022-03-22,35,11
2022-03-23,42,7
2022-03-24,50,8
2022-03-25,53,3
2022-03-26,56,3
2022-03-27,56,0
2022-03-28,66,10
2022-03-29,71,5
2022-03-30,81,10
2022-03-31,83,2
2022-04-01,85,2
2022-04-02,87,2
2022-04-03,89,2
2022-04-04,92,3
2022-04-05,94,2
2022-04-06,0,
2022-04-07,111,17
2022-04-08,112,1
2022-04-09,112,0
2022-04-10,112,0
2022-04-11,119,7
2022-04-12,124,5
2022-04-13,132,8
2022-04-14,134,2
2022-04-15,135,1
2022-04-16,138,3
2022-04-17,148,10
2022-04-18,155,7
2022-04-19,158,3
2022-04-20,165,7
2022-04-21,166,1
2022-04-22,172,6
2022-04-23,182,10
2022-04-24,191,9
2022-04-25,201,10
2022-04-26,205,4
2022-04-27,207,2
2022-04-28,215,8
2022-04-29,229,14
2022-04-30,232,3
2022-05-01,245,13
2022-05-02,271,26
2022-05-03,291,20
2022-05-04,303,12
2022-05-05,312,9
2022-05-06,324,12
2022-05-07,341,17
2022-05-08,360,19
2022-05-09,377,17
2022-05-10,380,3
2022-05-11,390,10
2022-05-12,398,8
2022-05-13,405,7
2022-05-14,411,6
2022-05-15,416,5
2022-05-16,427,11
2022-05-17,436,9
2022-05-18,441,5
2022-05-19,455,14
2022-05-20,460,5
2022-05-21,462,2
2022-05-22,470,8
2022-05-23,476,6
2022-05-24,480,4
2022-05-25,491,11
2022-05-26,502,11
2022-05-27,503,1
2022-05-28,503,0
2022-05-29,504,1
2022-05-30,507,3
2022-05-31,515,8
2022-06-01,519,4
2022-06-02,521,2
2022-06-03,535,14
2022-06-04,540,5
2022-06-05,548,8
2022-06-06,551,3
2022-06-07,553,2
2022-06-08,559,6
2022-06-09,562,3
2022-06-10,572,10
2022-06-11,579,7
2022-06-12,582,3
2022-06-13,585,3
2022-06-14,588,3
2022-06-15,591,3
2022-06-16,591,0
2022-06-17,593,2
2022-06-18,594,1
2022-06-19,598,4
2022-06-20,601,3
2022-06-21,611,10
2022-06-22,614,3
2022-06-23,620,6
2022-06-24,622,2
2022-06-25,626,4
2022-06-26,630,4
2022-06-27,636,6
2022-06-28,636,0
2022-06-29,640,4
2022-06-30,641,1
2022-07-01,645,4
2022-07-02,653,8
2022-07-03,654,1
2022-07-04,658,4
2022-07-05,660,2
2022-07-06,664,4
2022-07-07,667,3
2022-07-08,669,2
2022-07-09,674,5
2022-07-10,676,2
2022-07-11,676,0
2022-07-12,676,0
2022-07-13,678,2
2022-07-14,681,3
2022-07-15,681,0
2022-07-16,0,
2022-07-17,688,7
2022-07-18,690,2
2022-07-19,693,3
2022-07-20,703,10
2022-07-21,710,7
2022-07-22,713,3
2022-07-23,714,1
2022-07-24,714,0
2022-07-25,719,5
2022-07-26,722,3
2022-07-27,726,4
2022-07-28,729,3
2022-07-29,731,2
2022-07-30,733,2
2022-07-31,735,2
2022-08-01,736,1
2022-08-02,739,3
2022-08-03,740,1
2022-08-04,742,2
2022-08-05,742,0
2022-08-06,744,2
2022-08-07,750,6
2022-08-08,754,4
2022-08-09,757,3
2022-08-10,766,9
2022-08-11,772,6
2022-08-12,778,6
2022-08-13,779,1
2022-08-14,784,5
2022-08-15,787,3
2022-08-16,790,3
2022-08-17,792,2
2022-08-18,793,1
2022-08-19,795,2
2022-08-20,803,8
2022-08-21,806,3
2022-08-22,815,9
2022-08-23,817,2
2022-08-24,819,2
2022-08-25,828,9
2022-08-26,834,6
2022-08-27,836,2
2022-08-28,838,2
2022-08-29,844,6
2022-08-30,847,3
2022-08-31,849,2
2022-09-01,851,2
2022-09-02,853,2
2022-09-03,864,11
2022-09-04,864,0
2022-09-05,867,3
2022-09-06,876,9
2022-09-07,880,4
2022-09-08,884,4
2022-09-09,888,4
2022-09-10,898,10
2022-09-11,902,4
2022-09-12,903,1
2022-09-13,904,1
2022-09-14,908,4
2022-09-15,908,0
2022-09-16,908,0
2022-09-17,911,3
2022-09-18,918,7
2022-09-19,920,2
2022-09-20,925,5
2022-09-21,932,7
2022-09-22,941,9
2022-09-23,950,9
2022-09-24,956,6
2022-09-25,966,10
2022-09-26,970,4
2022-09-27,977,7
2022-09-28,989,12
2022-09-29,995,6
2022-09-30,1003,8
2022-10-01,1009,6
2022-10-02,1015,6
2022-10-03,1026,11
2022-10-04,1028,2
2022-10-05,1032,4
2022-10-06,1047,15
2022-10-07,1067,20
2022-10-08,1079,12
2022-10-09,1086,7
2022-10-10,1097,11
2022-10-11,1114,17
2022-10-12,1129,15
2022-10-13,1182,53
2022-10-14,1199,17
2022-10-15,1210,11
2022-10-16,1224,14
2022-10-17,1241,17
2022-10-18,1276,35
2022-10-19,1286,10
2022-10-20,1311,25
2022-10-21,1325,14
2022-10-22,1341,16
2022-10-23,1361,20
2022-10-24,1370,9
2022-10-25,1372,2
2022-10-26,1379,7
2022-10-27,1398,19
2022-10-28,1401,3
2022-10-29,1406,5
2022-10-30,1412,6
2022-10-31,1413,1
2022-11-01,1415,2
2022-11-02,1438,23
2022-11-03,1442,4
2022-11-04,1450,8
2022-11-05,1462,12
2022-11-06,1465,3
2022-11-07,1472,7
2022-11-08,1476,4
2022-11-09,1483,7
2022-11-10,1499,16
2022-11-11,1505,6
2022-11-12,1506,1
2022-11-13,1507,1
2022-11-14,1509,2
2022-11-15,1511,2
2022-11-16,1525,14
2022-11-17,1531,6
2022-11-18,1536,5
2022-11-19,1536,0
2022-11-20,1537,1
2022-11-21,1537,0
2022-11-22,1537,0
2022-11-23,1537,0
2022-11-24,1547,10
2022-11-25,1553,6
2022-11-26,1554,1
2022-11-27,1555,1
2022-11-28,1555,0
2022-11-29,1555,0
2022-11-30,1562,7
2022-12-01,1562,0
2022-12-02,1564,2
2022-12-03,1572,8
2022-12-04,1573,1
2022-12-05,1582,9
2022-12-06,1587,5
2022-12-07,1601,14
2022-12-08,1603,2
2022-12-09,1603,0
2022-12-10,1603,0
2022-12-11,1613,10
2022-12-12,1617,4
2022-12-13,1617,0
2022-12-14,1617,0
2022-12-15,1644,27
2022-12-16,1648,4
2022-12-17,1648,0
2022-12-18,1649,1
2022-12-19,1680,31
2022-12-20,0,
2022-12-21,1688,8
2022-12-22,1693,5
2022-12-23,1698,5
2022-12-24,1706,8
2022-12-25,1706,0
2022-12-26,1707,1
2022-12-27,1707,0
2022-12-28,1707,0
2022-12-29,1717,10
2022-12-30,1740,23
2022-12-31,1746,6
