"Дата","Втрати гелікоптерів армії рф","дельта"
2022-02-27,26,26
2022-02-28,29,3
2022-03-01,29,0
2022-03-02,31,2
2022-03-03,31,0
2022-03-04,37,6
2022-03-05,40,3
2022-03-06,48,8
2022-03-07,68,20
2022-03-08,80,12
2022-03-09,81,1
2022-03-10,81,0
2022-03-11,83,2
2022-03-12,83,0
2022-03-13,86,3
2022-03-14,90,4
2022-03-15,95,5
2022-03-16,108,13
2022-03-17,108,0
2022-03-18,112,4
2022-03-19,115,3
2022-03-20,118,3
2022-03-21,121,3
2022-03-22,123,2
2022-03-23,124,1
2022-03-24,124,0
2022-03-25,125,1
2022-03-26,127,2
2022-03-27,127,0
2022-03-28,127,0
2022-03-29,129,2
2022-03-30,131,2
2022-03-31,131,0
2022-04-01,131,0
2022-04-02,134,3
2022-04-03,134,0
2022-04-04,134,0
2022-04-05,134,0
2022-04-06,135,1
2022-04-07,135,0
2022-04-08,135,0
2022-04-09,136,1
2022-04-10,137,1
2022-04-11,137,0
2022-04-12,140,3
2022-04-13,143,3
2022-04-14,144,1
2022-04-15,144,0
2022-04-16,145,1
2022-04-17,146,1
2022-04-18,147,1
2022-04-19,150,3
2022-04-20,150,0
2022-04-21,151,1
2022-04-22,153,2
2022-04-23,154,1
2022-04-24,154,0
2022-04-25,154,0
2022-04-26,154,0
2022-04-27,155,1
2022-04-28,155,0
2022-04-29,155,0
2022-04-30,155,0
2022-05-01,155,0
2022-05-02,155,0
2022-05-03,155,0
2022-05-04,155,0
2022-05-05,155,0
2022-05-06,155,0
2022-05-07,155,0
2022-05-08,156,1
2022-05-09,158,2
2022-05-10,158,0
2022-05-11,160,2
2022-05-12,161,1
2022-05-13,162,1
2022-05-14,163,1
2022-05-15,164,1
2022-05-16,165,1
2022-05-17,167,2
2022-05-18,167,0
2022-05-19,167,0
2022-05-20,168,1
2022-05-21,169,1
2022-05-22,170,1
2022-05-23,170,0
2022-05-24,170,0
2022-05-25,170,0
2022-05-26,170,0
2022-05-27,170,0
2022-05-28,174,4
2022-05-29,174,0
2022-05-30,174,0
2022-05-31,174,0
2022-06-01,175,1
2022-06-02,175,0
2022-06-03,175,0
2022-06-04,175,0
2022-06-05,175,0
2022-06-06,176,1
2022-06-07,177,1
2022-06-08,178,1
2022-06-09,178,0
2022-06-10,178,0
2022-06-11,178,0
2022-06-12,178,0
2022-06-13,178,0
2022-06-14,179,1
2022-06-15,179,0
2022-06-16,179,0
2022-06-17,180,1
