"Дата","Втрати літаків армії рф","дельта"
2022-02-27,27,27
2022-02-28,29,2
2022-03-01,29,0
2022-03-02,30,1
2022-03-03,30,0
2022-03-04,33,3
2022-03-05,39,6
2022-03-06,44,5
2022-03-07,46,2
2022-03-08,48,2
2022-03-09,49,1
2022-03-10,49,0
2022-03-11,57,8
2022-03-12,58,1
2022-03-13,74,16
2022-03-14,77,3
2022-03-15,81,4
2022-03-16,84,3
2022-03-17,86,2
2022-03-18,93,7
2022-03-19,95,2
2022-03-20,96,1
2022-03-21,97,1
2022-03-22,99,2
2022-03-23,101,2
2022-03-24,108,7
2022-03-25,115,7
2022-03-26,117,2
2022-03-27,121,4
2022-03-28,123,2
2022-03-29,127,4
2022-03-30,131,4
2022-03-31,135,4
2022-04-01,143,8
2022-04-02,143,0
2022-04-03,143,0
2022-04-04,147,4
2022-04-05,150,3
2022-04-06,150,0
2022-04-07,150,0
2022-04-08,150,0
2022-04-09,151,1
2022-04-10,152,1
2022-04-11,154,2
2022-04-12,157,3
2022-04-13,158,1
2022-04-14,160,2
2022-04-15,163,3
2022-04-16,163,0
2022-04-17,165,2
2022-04-18,167,2
2022-04-19,169,2
2022-04-20,171,2
2022-04-21,172,1
2022-04-22,176,4
2022-04-23,177,1
2022-04-24,179,2
2022-04-25,181,2
2022-04-26,184,3
2022-04-27,185,1
2022-04-28,187,2
2022-04-29,189,2
2022-04-30,190,1
2022-05-01,192,2
2022-05-02,194,2
2022-05-03,194,0
2022-05-04,194,0
2022-05-05,196,2
2022-05-06,199,3
2022-05-07,199,0
2022-05-08,199,0
2022-05-09,199,0
2022-05-10,199,0
2022-05-11,199,0
2022-05-12,199,0
2022-05-13,200,1
2022-05-14,200,0
2022-05-15,200,0
2022-05-16,200,0
2022-05-17,201,1
2022-05-18,202,1
2022-05-19,203,1
2022-05-20,204,1
2022-05-21,204,0
2022-05-22,204,0
2022-05-23,204,0
2022-05-24,205,1
2022-05-25,206,1
2022-05-26,206,0
2022-05-27,206,0
2022-05-28,207,1
2022-05-29,207,0
2022-05-30,207,0
2022-05-31,208,1
2022-06-01,208,0
2022-06-02,210,2
2022-06-03,210,0
2022-06-04,210,0
2022-06-05,210,0
2022-06-06,211,1
2022-06-07,212,1
2022-06-08,212,0
2022-06-09,212,0
2022-06-10,212,0
2022-06-11,212,0
2022-06-12,212,0
2022-06-13,213,1
2022-06-14,213,0
2022-06-15,213,0
2022-06-16,213,0
2022-06-17,215,2
2022-06-18,216,1
2022-06-19,216,0
2022-06-20,216,0
2022-06-21,216,0
2022-06-22,216,0
2022-06-23,216,0
2022-06-24,216,0
2022-06-25,217,1
2022-06-26,217,0
2022-06-27,217,0
2022-06-28,217,0
2022-06-29,217,0
2022-06-30,217,0
2022-07-01,217,0
2022-07-02,217,0
2022-07-03,217,0
2022-07-04,217,0
2022-07-05,217,0
2022-07-06,217,0
2022-07-07,217,0
2022-07-08,217,0
2022-07-09,217,0
2022-07-10,217,0
2022-07-11,217,0
2022-07-12,217,0
2022-07-13,217,0
2022-07-14,219,2
2022-07-15,220,1
2022-07-16,0,
2022-07-17,220,0
2022-07-18,220,0
2022-07-19,220,0
2022-07-20,221,1
2022-07-21,221,0
2022-07-22,221,0
2022-07-23,221,0
2022-07-24,221,0
2022-07-25,222,1
2022-07-26,222,0
2022-07-27,222,0
2022-07-28,222,0
2022-07-29,222,0
2022-07-30,222,0
2022-07-31,223,1
2022-08-01,223,0
2022-08-02,223,0
2022-08-03,223,0
2022-08-04,223,0
2022-08-05,223,0
2022-08-06,223,0
2022-08-07,223,0
2022-08-08,223,0
2022-08-09,223,0
2022-08-10,232,9
2022-08-11,232,0
2022-08-12,233,1
2022-08-13,233,0
2022-08-14,233,0
2022-08-15,233,0
2022-08-16,233,0
2022-08-17,233,0
2022-08-18,234,1
2022-08-19,234,0
2022-08-20,234,0
2022-08-21,234,0
2022-08-22,234,0
2022-08-23,234,0
2022-08-24,234,0
2022-08-25,234,0
2022-08-26,234,0
2022-08-27,234,0
2022-08-28,234,0
2022-08-29,234,0
2022-08-30,234,0
2022-08-31,234,0
2022-09-01,234,0
2022-09-02,234,0
2022-09-03,235,1
2022-09-04,236,1
2022-09-05,236,0
2022-09-06,236,0
2022-09-07,237,1
2022-09-08,239,2
2022-09-09,239,0
2022-09-10,239,0
2022-09-11,242,3
2022-09-12,243,1
2022-09-13,244,1
2022-09-14,246,2
2022-09-15,250,4
2022-09-16,250,0
2022-09-17,251,1
2022-09-18,251,0
2022-09-19,251,0
2022-09-20,252,1
2022-09-21,253,1
2022-09-22,253,0
2022-09-23,254,1
2022-09-24,255,1
2022-09-25,259,4
2022-09-26,260,1
2022-09-27,261,1
2022-09-28,262,1
2022-09-29,262,0
2022-09-30,264,2
2022-10-01,264,0
2022-10-02,264,0
2022-10-03,265,1
2022-10-04,266,1
2022-10-05,266,0
2022-10-06,266,0
2022-10-07,266,0
2022-10-08,266,0
2022-10-09,266,0
2022-10-10,267,1
2022-10-11,268,1
2022-10-12,268,0
2022-10-13,268,0
2022-10-14,268,0
2022-10-15,268,0
2022-10-16,268,0
2022-10-17,268,0
2022-10-18,268,0
2022-10-19,269,1
2022-10-20,269,0
2022-10-21,269,0
2022-10-22,270,1
2022-10-23,270,0
2022-10-24,270,0
2022-10-25,271,1
2022-10-26,271,0
2022-10-27,271,0
2022-10-28,272,1
2022-10-29,273,1
2022-10-30,274,1
2022-10-31,275,1
2022-11-01,276,1
2022-11-02,277,1
2022-11-03,277,0
2022-11-04,277,0
2022-11-05,277,0
2022-11-06,277,0
2022-11-07,277,0
2022-11-08,278,1
2022-11-09,278,0
2022-11-10,278,0
2022-11-11,278,0
2022-11-12,278,0
2022-11-13,278,0
2022-11-14,278,0
2022-11-15,278,0
2022-11-16,278,0
2022-11-17,278,0
2022-11-18,278,0
2022-11-19,278,0
2022-11-20,278,0
2022-11-21,278,0
2022-11-22,278,0
2022-11-23,278,0
2022-11-24,278,0
2022-11-25,278,0
2022-11-26,278,0
2022-11-27,278,0
2022-11-28,278,0
2022-11-29,280,2
2022-11-30,280,0
2022-12-01,280,0
2022-12-02,280,0
2022-12-03,280,0
2022-12-04,281,1
2022-12-05,281,0
2022-12-06,281,0
2022-12-07,281,0
