"Дата","Втрати кораблів флоту рф","дельа"
2022-02-27,2,2
2022-02-28,2,0
2022-03-01,0,
2022-03-02,0,
2022-03-03,0,
2022-03-04,0,
2022-03-05,0,
2022-03-06,0,
2022-03-07,3,1
2022-03-08,3,0
2022-03-09,3,0
2022-03-10,3,0
2022-03-11,3,0
2022-03-12,3,0
2022-03-13,3,0
2022-03-14,3,0
2022-03-15,3,0
2022-03-16,3,0
2022-03-17,3,0
2022-03-18,3,0
2022-03-19,3,0
2022-03-20,3,0
2022-03-21,3,0
2022-03-22,3,0
2022-03-23,4,1
2022-03-24,4,0
2022-03-25,5,1
2022-03-26,7,2
2022-03-27,7,0
2022-03-28,7,0
2022-03-29,7,0
2022-03-30,7,0
2022-03-31,7,0
2022-04-01,7,0
2022-04-02,7,0
2022-04-03,7,0
2022-04-04,7,0
2022-04-05,7,0
2022-04-06,7,0
2022-04-07,7,0
2022-04-08,7,0
2022-04-09,7,0
2022-04-10,7,0
2022-04-11,7,0
2022-04-12,7,0
2022-04-13,7,0
2022-04-14,7,0
2022-04-15,8,1
2022-04-16,8,0
2022-04-17,8,0
2022-04-18,8,0
2022-04-19,8,0
2022-04-20,8,0
2022-04-21,8,0
2022-04-22,8,0
2022-04-23,8,0
2022-04-24,8,0
2022-04-25,8,0
2022-04-26,8,0
2022-04-27,8,0
2022-04-28,8,0
2022-04-29,8,0
2022-04-30,8,0
2022-05-01,8,0
2022-05-02,8,0
2022-05-03,10,2
2022-05-04,10,0
2022-05-05,10,0
2022-05-06,11,1
2022-05-07,11,0
2022-05-08,12,1
2022-05-09,12,0
2022-05-10,12,0
2022-05-11,12,0
2022-05-12,13,1
2022-05-13,13,0
2022-05-14,13,0
2022-05-15,13,0
2022-05-16,13,0
2022-05-17,13,0
2022-05-18,13,0
2022-05-19,13,0
2022-05-20,13,0
2022-05-21,13,0
2022-05-22,13,0
2022-05-23,13,0
2022-05-24,13,0
2022-05-25,13,0
2022-05-26,13,0
2022-05-27,13,0
2022-05-28,13,0
2022-05-29,13,0
2022-05-30,13,0
2022-05-31,13,0
2022-06-01,13,0
2022-06-02,13,0
2022-06-03,13,0
2022-06-04,13,0
2022-06-05,13,0
2022-06-06,13,0
2022-06-07,13,0
2022-06-08,13,0
2022-06-09,13,0
2022-06-10,13,0
2022-06-11,13,0
2022-06-12,13,0
2022-06-13,13,0
2022-06-14,13,0
2022-06-15,13,0
2022-06-16,13,0
2022-06-17,13,0
2022-06-18,14,1
2022-06-19,14,0
2022-06-20,14,0
2022-06-21,14,0
2022-06-22,14,0
2022-06-23,14,0
2022-06-24,14,0
2022-06-25,14,0
2022-06-26,14,0
2022-06-27,14,0
2022-06-28,14,0
2022-06-29,14,0
2022-06-30,14,0
2022-07-01,15,1
2022-07-02,15,0
2022-07-03,15,0
2022-07-04,15,0
2022-07-05,15,0
2022-07-06,15,0
2022-07-07,15,0
2022-07-08,15,0
2022-07-09,15,0
2022-07-10,15,0
2022-07-11,15,0
2022-07-12,15,0
2022-07-13,15,0
2022-07-14,15,0
2022-07-15,15,0
2022-07-16,0,
2022-07-17,15,0
2022-07-18,15,0
2022-07-19,15,0
2022-07-20,15,0
2022-07-21,15,0
2022-07-22,15,0
2022-07-23,15,0
2022-07-24,15,0
2022-07-25,15,0
2022-07-26,15,0
2022-07-27,15,0
2022-07-28,15,0
2022-07-29,15,0
2022-07-30,15,0
2022-07-31,15,0
2022-08-01,15,0
2022-08-02,15,0
2022-08-03,15,0
2022-08-04,15,0
2022-08-05,15,0
2022-08-06,15,0
2022-08-07,15,0
2022-08-08,15,0
2022-08-09,15,0
2022-08-10,15,0
2022-08-11,15,0
2022-08-12,15,0
2022-08-13,15,0
2022-08-14,15,0
2022-08-15,15,0
2022-08-16,15,0
2022-08-17,15,0
2022-08-18,15,0
2022-08-19,15,0
2022-08-20,15,0
2022-08-21,15,0
2022-08-22,15,0
2022-08-23,15,0
2022-08-24,15,0
2022-08-25,15,0
2022-08-26,15,0
