"Дата","Скільки дітей загинуло в Україні від агресії рф","дельта"
2022-03-12,79,79
2022-03-13,85,6
2022-03-14,90,5
2022-03-15,97,7
2022-03-16,103,6
2022-03-17,108,5
2022-03-18,109,1
2022-03-19,112,3
2022-03-20,115,3
2022-03-21,115,0
2022-03-22,117,2
2022-03-23,121,4
2022-03-24,128,7
2022-03-25,135,7
2022-03-26,136,1
2022-03-27,139,3
2022-03-28,143,4
2022-03-29,144,1
2022-03-30,145,1
2022-03-31,148,3
2022-04-01,153,5
2022-04-02,158,5
2022-04-03,158,0
2022-04-04,161,3
2022-04-05,165,4
2022-04-06,167,2
2022-04-07,167,0
2022-04-08,169,2
2022-04-09,176,7
2022-04-10,177,1
2022-04-11,183,6
2022-04-12,186,3
2022-04-13,191,5
2022-04-14,197,6
2022-04-15,198,1
2022-04-16,200,2
2022-04-17,202,2
2022-04-18,205,3
2022-04-19,205,0
2022-04-20,205,0
2022-04-21,208,3
2022-04-22,208,0
2022-04-23,208,0
2022-04-24,213,5
2022-04-25,215,2
2022-04-26,217,2
2022-04-27,217,0
2022-04-28,217,0
2022-04-29,219,2
2022-04-30,219,0
2022-05-01,219,0
2022-05-02,219,0
2022-05-03,220,1
2022-05-04,220,0
2022-05-05,221,1
2022-05-06,223,2
2022-05-07,223,0
2022-05-08,225,2
2022-05-09,226,1
2022-05-10,226,0
2022-05-11,226,0
2022-05-12,226,0
2022-05-13,226,0
2022-05-14,227,1
2022-05-15,227,0
2022-05-16,229,2
2022-05-17,229,0
2022-05-18,229,0
2022-05-19,231,2
2022-05-20,232,1
2022-05-21,232,0
2022-05-22,232,0
2022-05-23,232,0
2022-05-24,234,2
2022-05-25,238,4
2022-05-26,240,2
2022-05-27,241,1
2022-05-28,242,1
2022-05-29,242,0
2022-05-30,243,1
2022-05-31,243,0
2022-06-01,243,0
2022-06-02,261,18
2022-06-03,261,0
2022-06-04,263,2
2022-06-05,266,3
2022-06-06,268,2
2022-06-07,271,3
2022-06-08,273,2
2022-06-09,276,3
2022-06-10,278,2
2022-06-11,281,3
2022-06-12,283,2
2022-06-13,286,3
2022-06-14,288,2
2022-06-15,290,2
2022-06-16,293,3
2022-06-17,295,2
2022-06-18,298,3
2022-06-19,300,2
2022-06-20,303,3
2022-06-21,305,2
2022-06-22,308,3
2022-06-23,310,2
2022-06-24,313,3
2022-06-25,315,2
2022-06-26,318,3
2022-06-27,320,2
2022-06-28,322,2
2022-06-29,325,3
2022-06-30,327,2
2022-07-01,330,3
2022-07-02,332,2
2022-07-03,335,3
2022-07-04,337,2
2022-07-05,340,3
2022-07-06,342,2
2022-07-07,345,3
2022-07-08,347,2
2022-07-09,347,0
2022-07-10,347,0
2022-07-11,347,0
2022-07-12,348,1
2022-07-13,349,1
2022-07-14,349,0
2022-07-15,0,
2022-07-16,0,
2022-07-17,0,
2022-07-18,0,
2022-07-19,353,4
2022-07-20,353,0
2022-07-21,358,5
2022-07-22,358,0
2022-07-23,358,0
2022-07-24,358,0
2022-07-25,358,0
2022-07-26,358,0
2022-07-27,358,0
2022-07-28,358,0
2022-07-29,358,0
2022-07-30,358,0
2022-07-31,358,0
2022-08-01,358,0
2022-08-02,358,0
2022-08-03,358,0
2022-08-04,358,0
2022-08-05,359,1
2022-08-06,361,2
2022-08-07,361,0
2022-08-08,0,
2022-08-09,361,0
2022-08-10,361,0
2022-08-11,361,0
2022-08-12,361,0
2022-08-13,361,0
2022-08-14,0,
2022-08-15,361,0
2022-08-16,361,0
2022-08-17,361,0
2022-08-18,361,0
2022-08-19,362,1
2022-08-20,363,1
2022-08-21,373,10
2022-08-22,373,0
2022-08-23,374,1
2022-08-24,374,0
2022-08-25,376,2
2022-08-26,377,1
2022-08-27,377,0
2022-08-28,379,2
2022-08-29,379,0
2022-08-30,0,
2022-08-31,379,0
2022-09-01,380,1
2022-09-02,380,0
2022-09-03,380,0
2022-09-04,382,2
2022-09-05,382,0
